decile1b,decile3,decile1,race,cluster,lsat,ugpa,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,parttime,sex,tier,index6040,dropout,pass_bar
4,4,4,1,4,35,3.4,-0.38,63,-0.42,2,3,-56,1,0,5,734.736825,0,1
5,6,5,1,5,45,3.8,0.02,68,0.25,1,4,-61,0,0,6,932.631555,0,1
9,9,9,1,4,43,3.1,1.15,46,0.96,1,3,-39,0,1,5,831.052609,0,1
1,2,1,1,1,40,3,-1.82,67,-1.27,1,4,-65,0,1,4,773.68419,0,1
1,1,1,0,3,32,3.1,-1.65,67,-1.61,1,2,-60,0,1,3,657.368406,0,1
3,2,3,0,4,26,3,-0.65,69,-1.23,1,3,-62,0,0,5,552.631568,0,1
5,7,6,1,1,41,3.5,0.08,65,0.34,1,3,-58,0,1,4,839.473663,0,1
5,6,5,1,2,35,2.3,-0.1,64,0.06,1,4,-57,0,0,2,624.736825,0,1
5,5,5,1,1,40,3.6,-0.1,69,-0.23,1,4,-62,0,0,4,833.68419,0,1
2,4,3,1,3,33,3.1,-0.71,50,-0.5,1,3,-43,0,0,3,673.157879,0,1
8,6,8,1,3,39,3.1,0.66,68,0.06,1,3,-66,0,1,3,767.894717,0,1
4,2,4,1,4,41,3.2,-0.38,69,-1.11,1,3,-67,0,0,5,809.473663,0,1
10,9,10,1,3,24.3,2.7,1.57,55,1.26,1,2,-53,0,0,3,495.7894639,0,1
1,1,1,1,3,33,3,-1.44,57,-1.34,1,2,-50,0,1,3,663.157879,0,1
2,2,2,1,4,38,3.8,-1.06,68,-1.19,1,4,-61,0,1,5,822.105244,0,1
3,4,4,1,4,34,3.2,-0.47,69,-0.41,1,5,-62,0,0,5,698.947352,0,1
8,8,8,1,3,33.5,2.5,0.75,68,0.66,1,4,-61,0,1,3,621.0526155,0,1
2,3,2,1,1,40,3.3,-0.98,67,-0.73,1,3,-60,0,0,4,803.68419,0,1
5,4,5,0,4,25,3.3,-0.09,68,-0.24,1,2,-61,0,0,5,566.842095,0,1
8,10,9,1,3,31,3.3,0.85,60,1.41,1,3,-53,0,1,3,661.578933,0,1
2,1,2,0,1,25,2.9,-1.11,69,-1.67,1,1,-62,0,0,4,526.842095,0,1
2,3,2,0,1,39,2.4,-0.84,65,-0.85,1,4,-63,0,1,4,697.894717,0,1
1,2,1,1,4,40,3.9,-1.5,68,-1.22,1,4,-61,0,1,5,863.68419,0,1
10,10,10,1,3,36,3.4,1.66,60,1.41,1,4,-58,0,1,3,750.526298,0,1
5,7,5,1,3,38,2.7,-0.03,65,0.3,1,5,-58,0,1,3,712.105244,0,1
7,6,7,0,3,36,2.9,0.42,67,0.05,1,5,-60,0,1,3,700.526298,0,1
1,5,1,0,1,29,3,-2.84,64,-0.17,2,2,-62,1,0,4,599.999987,0,1
9,10,9,1,3,34,3.2,1.22,68,1.91,1,4,-61,0,1,3,698.947352,0,1
6,5,6,1,1,36,3.6,0.14,69,-0.23,1,4,-62,0,0,4,770.526298,0,1
6,7,6,1,1,38,3.6,0.25,68,0.36,1,5,-61,0,1,4,802.105244,0,1
6,6,6,1,4,40,3.6,0.09,68,0.09,1,3,-66,0,0,5,833.68419,0,1
8,8,9,0,6,23,2.2,0.89,66,0.71,1,5,-59,0,1,1,425.263149,0,1
1,2,2,0,3,29.5,2.6,-1.25,67,-1.13,1,5,-60,0,1,3,567.8947235,0,0
8,9,8,1,3,41,3.4,0.83,69,1.18,1,5,-62,0,1,3,829.473663,0,1
5,5,5,1,4,37.5,3.4,-0.1,63,-0.17,1,3,-56,0,0,5,774.2105075,0,1
