K,budget,Error,Equal opportunity difference
1,1.0,0.2793991416309013,0.03109298140733674
1,0.1,0.3034334763948498,0.06621224940278447
2,1.0,0.2657793044224989,0.08655400821251147
2,0.1,0.26449119793902964,0.08448729982063041
3,1.0,0.38686131386861317,0.03543999257516206
3,0.1,0.3911550021468441,0.023341352804922555
4,1.0,0.29841133533705455,0.002836494075710738
4,0.1,0.3027050236152855,0.006618486141736435
5,1.0,0.23711340206185566,0.08426590534354961
5,0.1,0.23324742268041238,0.07039967369602806
