K,budget,Error,Equal opportunity difference
1,1.0,0.12159863945578231,0.052829741459581914
1,0.1,0.12159863945578231,0.052829741459581914
2,1.0,0.11413390010626992,0.018128350548325456
2,0.1,0.11413390010626992,0.021078203055613032
3,1.0,0.1079702444208289,0.09622259180642379
3,0.1,0.10860786397449522,0.11225172525775651
4,1.0,0.1077577045696068,0.18274182881801898
4,0.1,0.1075451647183847,0.17195046191193236
5,1.0,0.12029755579171095,0.12360248446967453
5,0.1,0.11965993623804463,0.12488726282397705
