K,budget,Error,Equal opportunity difference,fc
1,1.0,0.17330444925845692,0.14856052831805572,0.0
1,0.1,0.17063822696217298,0.2637908334211217,0.0
1,0.01,0.20763206132311282,0.4379062606925061,0.0
2,1.0,0.16066666666666668,0.08061646432817476,0.0
2,0.1,0.17016666666666666,0.10935569432638947,0.0
2,0.01,0.18416666666666667,0.2746495115466546,0.0
3,1.0,0.15816666666666668,0.10800327308301538,0.0
3,0.1,0.16766666666666666,0.16250845805775077,0.0
3,0.01,0.18433333333333332,0.25795842578753525,0.0
4,1.0,0.16066666666666668,0.09909909911754511,0.0
4,0.1,0.16883333333333334,0.11343161344612379,0.0
4,0.01,0.18583333333333332,0.042588042568436124,0.0
5,1.0,0.15619269878313052,0.1004524065487904,0.0
5,0.1,0.17836306051008502,0.13993962871536325,0.0
5,0.01,0.18769794965827638,0.252572211051221,0.0
1,1.0,0.16913847692051326,0.005919613497284426,0.1
1,0.1,0.17063822696217298,0.12360692109133697,0.1
1,0.01,0.20679886685552407,0.5194642283233161,0.1
2,1.0,0.16366666666666665,0.06834319041288639,0.1
2,0.1,0.17933333333333334,0.11201627652516977,0.1
2,0.01,0.18733333333333332,0.2882077725319334,0.1
3,1.0,0.16316666666666665,0.0723378810242174,0.1
3,0.1,0.16816666666666666,0.045047915805022876,0.1
3,0.01,0.1825,0.21599867819289223,0.1
4,1.0,0.16166666666666665,0.06265356267313726,0.1
4,0.1,0.16833333333333333,0.08517608519165704,0.1
4,0.01,0.18816666666666668,0.03931203929345578,0.1
5,1.0,0.15785964327387897,0.08078255740229912,0.1
5,0.1,0.17769628271378562,0.10975019293821686,0.1
5,0.01,0.18953158859809968,0.24483666460829706,0.1
1,1.0,0.1683052824529245,0.02712033089763366,0.2
1,0.1,0.1683052824529245,0.14420634675374167,0.2
1,0.01,0.20696550574904182,0.5444074684557949,0.2
2,1.0,0.16616666666666666,0.06509777435757258,0.2
2,0.1,0.1845,0.14013772427621662,0.2
2,0.01,0.1835,0.3637172369501879,0.2
3,1.0,0.16233333333333333,0.014532093367682797,0.2
3,0.1,0.1705,0.012163842048519391,0.2
3,0.01,0.181,0.17957402949768342,0.2
4,1.0,0.16166666666666665,0.04095004097062338,0.2
4,0.1,0.17083333333333334,0.05733005734652119,0.2
4,0.01,0.185,0.03767403765546756,0.2
5,1.0,0.1593598933155526,0.061112708255807835,0.2
5,0.1,0.17719619936656109,0.10144724699955332,0.2
5,0.01,0.19086514419069844,0.2417235327146029,0.2
1,1.0,0.17063822696217298,0.11026446467256323,0.3
1,0.1,0.17130478253624395,0.12707989924854846,0.3
1,0.01,0.2149641726378937,0.47789216143585134,0.3
2,1.0,0.16716666666666666,0.07179453388392287,0.3
2,0.1,0.18333333333333332,0.1649313850056605,0.3
2,0.01,0.186,0.33875883428816594,0.3
3,1.0,0.161,0.012903428872582001,0.3
3,0.1,0.1725,0.01931973755024774,0.3
3,0.01,0.19216666666666668,0.18213897938215518,0.3
4,1.0,0.1625,0.03153153155302113,0.3
4,0.1,0.17266666666666666,0.06879606881044664,0.3
4,0.01,0.18816666666666668,0.020884520866254308,0.3
5,1.0,0.16052675445907652,0.08068799081967581,0.3
5,0.1,0.1728621436906151,0.06545520572360475,0.3
5,0.01,0.19119853308884815,0.24851719599773098,0.3
1,1.0,0.17063822696217298,0.06189158085804192,0.4
1,0.1,0.17130478253624395,0.12313003454094407,0.4
1,0.01,0.21529745042492918,0.5082677614323166,0.4
2,1.0,0.16666666666666666,0.03630912178370305,0.4
2,0.1,0.18466666666666667,0.1691734897489532,0.4
2,0.01,0.18333333333333332,0.3504472743469207,0.4
3,1.0,0.16283333333333333,0.023765126146434223,0.4
3,0.1,0.1745,0.003957576069069657,0.4
3,0.01,0.1855,0.1575988607333651,0.4
4,1.0,0.16566666666666666,0.015151515174135044,0.4
4,0.1,0.1715,0.01719901721846595,0.4
4,0.01,0.1835,0.005323505339233092,0.4
5,1.0,0.16202700450075014,0.05587750225274535,0.4
5,0.1,0.17602933822303718,0.06295486528374328,0.4
5,0.01,0.19003167194532422,0.24115991588530022,0.4
1,1.0,0.1696383936010665,0.08063529580140893,0.5
1,0.1,0.17397100483252792,0.09327278949450069,0.5
1,0.01,0.21463089485085818,0.4862791445070274,0.5
2,1.0,0.16583333333333333,0.038763776566760666,0.5
2,0.1,0.183,0.13185944220535373,0.5
2,0.01,0.18483333333333332,0.37386533994757476,0.5
3,1.0,0.16683333333333333,0.06137783444762801,0.5
3,0.1,0.17266666666666666,0.04662150468898407,0.5
3,0.01,0.18283333333333332,0.16400336749148914,0.5
4,1.0,0.18083333333333335,0.009418509443832379,0.5
4,0.1,0.17016666666666666,0.04709254711058897,0.5
4,0.01,0.1825,0.005323505339233092,0.5
5,1.0,0.16486081013502252,0.054651919345079625,0.5
5,0.1,0.16969494915819303,0.09729388269700301,0.5
5,0.01,0.18953158859809968,0.26224448110470366,0.5
1,1.0,0.17263789368438592,0.17548388435712392,1.0
1,0.1,0.18830194967505415,0.08885640533074324,1.0
1,0.01,0.21296450591568072,0.5403539327604532,1.0
2,1.0,0.199,0.16538442529965736,1.0
2,0.1,0.19316666666666665,0.13310324379219962,1.0
2,0.01,0.18166666666666667,0.3718307770884726,1.0
3,1.0,0.16916666666666666,0.041944011728697994,1.0
3,0.1,0.17733333333333334,0.047656139381092366,1.0
3,0.01,0.1805,0.1605808116678692,1.0
4,1.0,0.18266666666666667,0.02006552008909568,1.0
4,0.1,0.1805,0.060606060623825786,1.0
4,0.01,0.18333333333333332,0.016380016397479713,1.0
5,1.0,0.1823637272878813,0.021636834088545776,1.0
5,0.1,0.17352892148691448,0.10031244800807393,1.0
5,0.01,0.18686447741290216,0.2666815451551237,1.0
1,1.0,0.18280286618896852,0.010201225367915345,1.5
1,0.1,0.1948008665222463,0.11595600205123213,1.5
1,0.01,0.21479753374437593,0.5564125690715487,1.5
2,1.0,0.1715,0.11997331182338666,1.5
2,0.1,0.20316666666666666,0.10356501542921848,1.5
2,0.01,0.18483333333333332,0.34725128086726165,1.5
3,1.0,0.177,0.4162575335596025,1.5
3,0.1,0.17583333333333334,0.07599254121193699,1.5
3,0.01,0.1845,0.19505814412068218,1.5
4,1.0,0.17416666666666666,0.16052416053679103,1.5
4,0.1,0.181,0.05241605243488079,1.5
4,0.01,0.192,0.010237510255853954,1.5
5,1.0,0.19336556092682114,0.14564766763154224,1.5
5,0.1,0.17186197699616604,0.09474436763261146,1.5
5,0.01,0.19086514419069844,0.29087545960178446,1.5
1,1.0,0.17863689385102482,0.027452078105999367,2.0
1,0.1,0.20229961673054492,0.08068713134061667,2.0
1,0.01,0.2202966172304616,0.526949273787575,2.0
2,1.0,0.18616666666666667,0.2612642295864642,2.0
2,0.1,0.20183333333333334,0.08359829329960089,2.0
2,0.01,0.18533333333333332,0.42066852275824873,2.0
3,1.0,0.20583333333333334,0.24354041762870068,2.0
3,0.1,0.17533333333333334,0.07787297992365161,2.0
3,0.01,0.214,0.19491652112634728,2.0
4,1.0,0.18066666666666667,0.09213759215659323,2.0
4,0.1,0.19366666666666665,0.15315315315721126,2.0
4,0.01,0.17983333333333335,0.04668304669826967,2.0
5,1.0,0.2063677279546591,0.04946967063298435,2.0
5,0.1,0.17602933822303718,0.08979664404385568,2.0
5,0.01,0.18769794965827638,0.2955016568174511,2.0
1,1.0,0.18513581069821697,0.40723001482706855,3.0
1,0.1,0.19863356107315447,0.06738614335547588,3.0
1,0.01,0.22762872854524246,0.48125110151108547,3.0
2,1.0,0.20066666666666666,0.20153704222269989,3.0
2,0.1,0.24333333333333335,0.05205845046815172,3.0
2,0.01,0.1985,0.47282581835711746,3.0
3,1.0,0.23833333333333334,0.007328990227953348,3.0
3,0.1,0.18083333333333335,0.05976097187206897,3.0
3,0.01,0.18883333333333333,0.22486978553275083,3.0
4,1.0,0.204,0.05733005730169749,3.0
4,0.1,0.23083333333333333,0.045864045864002265,3.0
4,0.01,0.18016666666666667,0.08804258805664222,3.0
5,1.0,0.2553758959826638,0.004569457297413315,3.0
5,0.1,0.18003000500083347,0.17668063731942424,3.0
5,0.01,0.18786464410735124,0.2424838480420261,3.0
1,1.0,0.22012997833694384,0.21370737826359437,4.0
1,0.1,0.21729711714714214,0.11825749802660823,4.0
1,0.01,0.2309615064155974,0.4776018826724535,4.0
2,1.0,0.20166666666666666,0.23572099306790864,4.0
2,0.1,0.2633333333333333,0.052429119816452374,4.0
2,0.01,0.209,0.44120360455937924,4.0
3,1.0,0.23533333333333334,0.050543674959262534,4.0
3,0.1,0.19366666666666665,0.09266471544092081,4.0
3,0.01,0.2045,0.2190160348860215,4.0
4,1.0,0.18766666666666668,0.2145782145874141,4.0
4,0.1,0.24,0.002457002456982334,4.0
4,0.01,0.19183333333333333,0.029484029493748898,4.0
5,1.0,0.23137189531588598,0.04357628121799584,4.0
5,0.1,0.18186364394065677,0.11568897431129854,4.0
5,0.01,0.19019836639439908,0.2768720400798159,4.0
1,1.0,0.24462589568405266,0.08950953257389149,5.0
1,0.1,0.2822862856190635,0.04555303292312751,5.0
1,0.01,0.24845859023496084,0.37414860200985206,5.0
2,1.0,0.2355,0.06260193407077755,5.0
2,0.1,0.26033333333333336,0.09611044302124616,5.0
2,0.01,0.29,0.32237524919212146,5.0
3,1.0,0.2215,0.016141088010269256,5.0
3,0.1,0.20466666666666666,0.09245621491590461,5.0
3,0.01,0.25133333333333335,0.1985711813140668,5.0
