K,budget,Error,Equal opportunity difference,fc
1,1.0,0.16947175470754874,0.20899034824219936,0.0
1,0.1,0.1736377270454924,0.10514311781712787,0.0
1,0.01,0.19246792201299784,0.33102147026098727,0.0
2,1.0,0.16316666666666665,0.10125039128061508,0.0
2,0.1,0.178,0.07974333208962958,0.0
2,0.01,0.21616666666666667,0.10043491871023502,0.0
3,1.0,0.15933333333333333,0.13916820093448734,0.0
3,0.1,0.16516666666666666,0.20364207148530172,0.0
3,0.01,0.18183333333333335,0.3495491667911532,0.0
4,1.0,0.1615,0.05978705980350352,0.0
4,0.1,0.17966666666666667,0.1986076986251637,0.0
4,0.01,0.20116666666666666,0.01842751841192819,0.0
5,1.0,0.15602600433405567,0.12370822050209229,0.0
5,0.1,0.1670278379729955,0.07479081873825033,0.0
5,0.01,0.18453075512585432,0.2422947148767795,0.0
1,1.0,0.17047158806865523,0.0997107579531415,0.1
1,0.1,0.1753041159806699,0.08920888669358429,0.1
1,0.01,0.19563406098983502,0.29334743258725815,0.1
2,1.0,0.163,0.016218843204651834,0.1
2,0.1,0.18,0.03668802822451411,0.1
2,0.01,0.20666666666666667,0.11765868767478327,0.1
3,1.0,0.15933333333333333,0.07984390000513097,0.1
3,0.1,0.16683333333333333,0.13345607328209308,0.1
3,0.01,0.18283333333333332,0.3245802451727891,0.1
4,1.0,0.16083333333333333,0.04258804256810417,0.1
4,0.1,0.18383333333333332,0.12448812450868685,0.1
4,0.01,0.20016666666666666,0.0008190008336033672,0.1
5,1.0,0.1565260876812802,0.034982070198588455,0.1
5,0.1,0.17052842140356725,0.053517120353600345,0.1
5,0.01,0.18719786631105184,0.30588128490738986,0.1
1,1.0,0.17013831028161974,0.021179983223204357,0.2
1,0.1,0.17313781036493917,0.08126768887874691,0.2
1,0.01,0.2007998666888852,0.25132958044345477,0.2
2,1.0,0.164,0.0010049257598964134,0.2
2,0.1,0.18033333333333335,0.002619396736228574,0.2
2,0.01,0.20233333333333334,0.13421525181650892,0.2
3,1.0,0.1615,0.07930494581327796,0.2
3,0.1,0.1645,0.10578057878492209,0.2
3,0.01,0.181,0.3115509292119831,0.2
4,1.0,0.1645,0.055692055672673935,0.2
4,0.1,0.186,0.09131859134025533,0.2
4,0.01,0.20883333333333334,0.02006552008013096,0.2
5,1.0,0.15869311551925322,0.037482410638449815,0.2
5,0.1,0.1710285047507918,0.06634791425887032,0.2
5,0.01,0.193532255375896,0.3705534793049494,0.2
1,1.0,0.16813864355940678,0.006894120797884651,0.3
1,0.1,0.17797033827695385,0.09141707877546301,0.3
1,0.01,0.2029661723046159,0.2580059921829595,0.3
2,1.0,0.16683333333333333,0.004167970848921176,0.3
2,0.1,0.1765,0.03465346536541197,0.3
2,0.01,0.20433333333333334,0.16844862523737247,0.3
3,1.0,0.16066666666666668,0.1059576075378823,0.3
3,0.1,0.17133333333333334,0.10437221673437924,0.3
3,0.01,0.1805,0.3374443343001766,0.3
4,1.0,0.16466666666666666,0.06552006550027129,0.3
4,0.1,0.18516666666666667,0.11793611795573788,0.3
4,0.01,0.2115,0.0008190008345994593,0.3
5,1.0,0.16002667111185198,0.027719356668780892,0.3
5,0.1,0.1728621436906151,0.09478975959070463,0.3
5,0.01,0.19869978329721621,0.3874884628882395,0.3
1,1.0,0.1714714214297617,0.017748473465621917,0.4
1,0.1,0.17930344942509582,0.09620667850187581,0.4
1,0.01,0.2057990334944176,0.25006479436812207,0.4
2,1.0,0.16466666666666666,0.014736165770263598,0.4
2,0.1,0.18116666666666667,0.04001581524611708,0.4
2,0.01,0.20416666666666666,0.171899968708409,0.4
3,1.0,0.16366666666666665,0.111327479603898,0.4
3,0.1,0.17666666666666667,0.10562715387104538,0.4
3,0.01,0.18233333333333332,0.3238760641475177,0.4
4,1.0,0.1655,0.11834561832256923,0.4
4,0.1,0.18366666666666667,0.07698607700636428,0.4
4,0.01,0.20983333333333334,0.0012285012435984677,0.4
5,1.0,0.1630271711951992,0.004592153217733763,0.4
5,0.1,0.17452908818136356,0.130025268205667,0.4
5,0.01,0.19586597766294384,0.39399842642349786,0.4
1,1.0,0.16763872687885353,0.012502721343291556,0.5
1,0.1,0.18180303282786203,0.06289718949803536,0.5
1,0.01,0.20663222796200634,0.2419991913657328,0.5
2,1.0,0.16866666666666666,0.018937085030411804,0.5
2,0.1,0.18033333333333335,0.07991631111471797,0.5
2,0.01,0.201,0.17764122502992508,0.5
3,1.0,0.17033333333333334,0.04609041838993766,0.5
3,0.1,0.17433333333333334,0.05210152797727874,0.5
3,0.01,0.1865,0.32246770209697473,0.5
4,1.0,0.168,0.13349713347479036,0.5
4,0.1,0.17816666666666667,0.05323505325354294,0.5
4,0.01,0.21016666666666667,0.02457002458443258,0.5
5,1.0,0.16719453242207036,0.02044151243407477,0.5
5,0.1,0.17519586597766296,0.08403564783670975,0.5
5,0.01,0.19669944990831806,0.3931965018044185,0.5
1,1.0,0.17563739376770537,0.09861184546498947,1.0
1,0.1,0.1796367272121313,0.09435096778283825,1.0
1,0.01,0.19496750541576405,0.3168911143626126,1.0
2,1.0,0.18516666666666667,0.03508179434069225,1.0
2,0.1,0.193,0.052453831093983494,1.0
2,0.01,0.1935,0.22552346749486687,1.0
3,1.0,0.17216666666666666,0.13141040773696,1.0
3,0.1,0.186,0.07762120570703779,1.0
3,0.01,0.18533333333333332,0.3119364584899595,1.0
4,1.0,0.16766666666666666,0.03726453724480844,1.0
4,0.1,0.20416666666666666,0.03439803440439326,1.0
4,0.01,0.21233333333333335,0.031941031956375654,1.0
5,1.0,0.17369561593598934,0.18139761845127716,1.0
5,0.1,0.184864144024004,0.04842187289125427,1.0
5,0.01,0.21420236706117687,0.3155573376273094,1.0
1,1.0,0.18296950508248624,0.06728247236773843,1.5
1,0.1,0.19296783869355108,0.0004457852450038824,1.5
1,0.01,0.20929845025829028,0.23172539628146482,1.5
2,1.0,0.21233333333333335,0.011045946492870273,1.5
2,0.1,0.20366666666666666,0.09188481246297409,1.5
2,0.01,0.22366666666666668,0.047585706990419835,1.5
3,1.0,0.19383333333333333,0.3071134085487692,1.5
3,0.1,0.188,0.07643314610105278,1.5
3,0.01,0.19283333333333333,0.3028804544641681,1.5
4,1.0,0.2405,0.0,1.5
4,0.1,0.23633333333333334,0.001638001638652277,1.5
4,0.01,0.20766666666666667,0.03849303850700048,1.5
5,1.0,0.1743623937322887,0.28134693075545525,1.5
5,0.1,0.17569594932488747,0.11120651830278527,1.5
5,0.01,0.22203700616769462,0.32796447324399314,1.5
1,1.0,0.19630061656390602,0.029380358518720118,2.0
1,0.1,0.21063156140643227,0.0385967095031301,2.0
1,0.01,0.20479920013331113,0.27815963258902554,2.0
2,1.0,0.22883333333333333,0.08246981106967821,2.0
2,0.1,0.205,0.10133276224690413,2.0
2,0.01,0.21366666666666667,0.1152205070767463,2.0
3,1.0,0.23283333333333334,0.04484334922640993,2.0
3,0.1,0.19616666666666666,0.11784213758430095,2.0
3,0.01,0.18733333333333332,0.3023296983527734,2.0
4,1.0,0.2405,0.0,2.0
4,0.1,0.2405,0.0,2.0
4,0.01,0.20066666666666666,0.04791154792460267,2.0
5,1.0,0.17702950491748626,0.24710247992481876,2.0
5,0.1,0.17769628271378562,0.08167904860400177,2.0
5,0.01,0.22170361726954493,0.32235100091043756,2.0
1,1.0,0.26012331278120315,0.0146590779199669,3.0
1,0.1,0.18863522746208966,0.08598471891147652,3.0
1,0.01,0.20046658890184968,0.3580692314876074,3.0
2,1.0,0.24316666666666667,0.09816148000359048,3.0
2,0.1,0.234,0.0008319467554007326,3.0
2,0.01,0.20883333333333334,0.17112568162117348,3.0
3,1.0,0.23616666666666666,0.01471305606704617,3.0
3,0.1,0.22233333333333333,0.08686604040533086,3.0
3,0.01,0.196,0.3178688885869117,3.0
4,1.0,0.2405,0.0,3.0
4,0.1,0.2405,0.0,3.0
4,0.01,0.19733333333333333,0.045045045057625244,3.0
5,1.0,0.19019836639439908,0.23257327019876672,3.0
5,0.1,0.19869978329721621,0.10715906858216917,3.0
5,0.01,0.25304217369561594,0.3027303263884764,3.0
1,1.0,0.3236127312114648,0.029763941186950138,4.0
1,0.1,0.21096483919346776,0.11020226211845885,4.0
1,0.01,0.19880019996667223,0.3443846608455713,4.0
2,1.0,0.32316666666666666,0.030403123467830473,4.0
2,0.1,0.234,0.0,4.0
2,0.01,0.199,0.2801354178767933,4.0
3,1.0,0.23866666666666667,0.0024429967426511157,4.0
3,0.1,0.23216666666666666,0.01102692410727063,4.0
3,0.01,0.22266666666666668,0.3188051739762828,4.0
4,1.0,0.2405,0.0,4.0
4,0.1,0.2405,0.0,4.0
4,0.01,0.19433333333333333,0.08067158068171093,4.0
5,1.0,0.24404067344557426,0.011226944667111253,4.0
5,0.1,0.1841973662277046,0.14479656838793264,4.0
5,0.01,0.24604100683447241,0.3118805889043126,4.0
1,1.0,0.37077153807698715,0.022092287947030775,5.0
1,0.1,0.2426262289618397,0.0034004084635282763,5.0
1,0.01,0.20746542242959506,0.34248748173823956,5.0
2,1.0,0.4145,0.0010790596130823005,5.0
2,0.1,0.234,0.0,5.0
2,0.01,0.224,0.2185548837921184,5.0
3,1.0,0.23916666666666667,0.000814332247550372,5.0
3,0.1,0.21866666666666668,0.012513965608036415,5.0
3,0.01,0.23633333333333334,0.30958394311707305,5.0
4,1.0,0.2405,0.0,5.0
4,0.1,0.2405,0.0,5.0
4,0.01,0.23483333333333334,0.001228501226665013,5.0
5,1.0,0.2147024504084014,0.25003026131970346,5.0
5,0.1,0.24320720120020003,0.0,5.0
5,0.01,0.24437406234372394,0.3221164757870979,5.0
