K,budget,Error,Equal opportunity difference,fc
1,1.0,0.10349352140396917,0.0524940220418999,0.0
1,0.1,0.10480564211907495,0.07971417440376571,0.0
1,0.01,0.11858290962768575,0.1718845576665224,0.0
2,1.0,0.1031485733027222,0.04260651617348654,0.0
2,0.1,0.11364381764512956,0.1845768265084899,0.0
2,0.01,0.12053132174483437,0.22483130887546982,0.0
3,1.0,0.10019678583142014,0.2280288969988804,0.0
3,0.1,0.10446047884552312,0.2456256626345933,0.0
3,0.01,0.11659560511643162,0.14968849407001988,0.0
4,1.0,0.10708428993112495,0.051271859987406854,0.0
4,0.1,0.11397179403082978,0.06701112886571275,0.0
4,0.01,0.12955067235159068,0.06852146252264085,0.0
5,1.0,0.09972117434804002,0.19136107179395995,0.0
5,0.1,0.10710185337051009,0.2561001408808819,0.0
5,0.01,0.11169427587338035,0.055747531680975015,0.0
1,1.0,0.10874200426439233,0.07001056541655504,0.1
1,0.1,0.10677382319173363,0.04562642485910989,0.1
1,0.01,0.11694275873380351,0.1719123617075551,0.1
2,1.0,0.10446047884552312,0.10449199907187745,0.1
2,0.1,0.12217120367333552,0.15646809312920018,0.1
2,0.01,0.12430305018038701,0.24711779429621616,0.1
3,1.0,0.10413250245982289,0.14922454917386418,0.1
3,0.1,0.10593637258117415,0.15608430527694944,0.1
3,0.01,0.11561167595933093,0.1198634675649079,0.1
4,1.0,0.10774024270252541,0.004133545417249862,0.1
4,0.1,0.11495572318793047,0.016613672611343777,0.1
4,0.01,0.12938668415874058,0.05667726539273921,0.1
5,1.0,0.10250943086763982,0.20148095894114626,0.1
5,0.1,0.10775791372806298,0.21237658657966502,0.1
5,0.01,0.11333442676726259,0.03014809593879375,0.1
1,1.0,0.12612760373954404,0.1542289938962461,0.2
1,0.1,0.11005412497949811,0.03881443575838528,0.2
1,0.01,0.12169919632606199,0.186926541770182,0.2
2,1.0,0.10970810101672679,0.2205899361742133,0.2
2,0.1,0.12102328632338472,0.18099093869656868,0.2
2,0.01,0.12676287307313874,0.2527472525493997,0.2
3,1.0,0.10708428993112495,0.1611876986740315,0.2
3,0.1,0.10741226631682518,0.13020281004368783,0.2
3,0.01,0.11675959330928173,0.12808191932014856,0.2
4,1.0,0.10610036077402427,0.1227344993024656,0.2
4,0.1,0.11807149885208265,0.1782193959300708,0.2
4,0.01,0.12922269596589045,0.07257551657664013,0.2
5,1.0,0.10660980810234541,0.1805712269068237,0.2
5,0.1,0.11317041167787437,0.23942172055312871,0.2
5,0.01,0.11218632114154502,0.04566290552954813,0.2
1,1.0,0.13596850910283745,0.05616415488684401,0.3
