K,budget,Error,Equal opportunity difference,fc
1,1.0,0.2875536480686695,0.02545353570049036,0.0
1,0.1,0.3184549356223176,0.03772742896940151,0.0
1,0.01,0.37510729613733906,0.05512508597193966,0.0
2,1.0,0.27179046801202233,0.10772310016466458,0.0
2,0.1,0.28853585229712325,0.12957674852459256,0.0
2,0.01,0.36195792185487335,0.11438611586798109,0.0
3,1.0,0.3250322026620867,0.08954072974566307,0.0
3,0.1,0.30828681837698585,0.0950387094499503,0.0
3,0.01,0.35251180764276513,0.02453656582928554,0.0
4,1.0,0.3044224989265779,0.0540346682352133,0.0
4,0.1,0.27608415629025335,0.028256262536169974,0.0
4,0.01,0.37312151137827393,0.013856436484024126,0.0
5,1.0,0.24054982817869416,0.05855628054851125,0.0
5,0.1,0.2697594501718213,0.08341761823266891,0.0
5,0.01,0.29080756013745707,0.051753670438140165,0.0
1,1.0,0.28841201716738196,0.03230285076892492,0.1
1,0.1,0.3459227467811159,0.019179404430357483,0.1
1,0.01,0.37553648068669526,0.05940590788971123,0.1
2,1.0,0.27608415629025335,0.09360167941752462,0.1
2,0.1,0.291970802919708,0.13560084491008284,0.1
2,0.01,0.36753971661657364,0.10663432950235796,0.1
3,1.0,0.33533705452984114,0.07024767894253825,0.1
3,0.1,0.3052812365822241,0.051579223314419886,0.1
3,0.01,0.34435379991412624,0.03554023628987846,0.1
4,1.0,0.24903392013739803,0.04578239051983235,0.1
4,0.1,0.27093173035637613,0.02807875524675174,0.1
4,0.01,0.3877200515242593,3.4921954217281836e-11,0.1
5,1.0,0.2508591065292096,0.04171288740124446,0.1
5,0.1,0.26374570446735396,0.04597063617897401,0.1
5,0.01,0.2920962199312715,0.03501631317973353,0.1
1,1.0,0.2927038626609442,0.01611836882999662,0.2
1,0.1,0.3321888412017167,0.0009454170160075881,0.2
1,0.01,0.3763948497854077,0.03194253453709006,0.2
2,1.0,0.2838127951910691,0.06795363268558308,0.2
2,0.1,0.29497638471446974,0.13800005212943356,0.2
2,0.01,0.3688278231000429,0.10491315910650356,0.2
3,1.0,0.3465006440532417,0.002413559089346262,0.2
3,0.1,0.31172176899957066,0.038416458442607326,0.2
3,0.01,0.34392443108630316,0.047638876060118074,0.2
4,1.0,0.24688707599828252,0.027419442452494946,0.2
4,0.1,0.2855302705023615,0.002361933715757547,0.2
4,0.01,0.3877200515242593,3.4921954217281836e-11,0.2
5,1.0,0.24914089347079038,0.03813213699407103,0.2
5,0.1,0.27276632302405496,0.027389885772550526,0.2
5,0.01,0.28908934707903783,0.04504893960496559,0.2
1,1.0,0.2793991416309013,0.00714682395345656,0.3
1,0.1,0.3218884120171674,0.004773364337420927,0.3
1,0.01,0.3785407725321888,0.03367139157391952,0.3
2,1.0,0.26921425504508373,0.09325614142149818,0.3
2,0.1,0.29068269643623873,0.12646690656035364,0.3
2,0.01,0.36024044654358095,0.11490116306988174,0.3
3,1.0,0.3203091455560326,0.013278430671326724,0.3
3,0.1,0.30656934306569344,0.05268190367608472,0.3
3,0.01,0.3383426363246028,0.04214860740784898,0.3
4,1.0,0.26105624731644483,0.032697567396452465,0.3
4,0.1,0.28166595105195363,0.007890017956737161,0.3
4,0.01,0.3877200515242593,3.4921954217281836e-11,0.3
5,1.0,0.24312714776632302,0.03362969001288907,0.3
5,0.1,0.28307560137457044,0.00526101138468571,0.3
5,0.01,0.28994845360824745,0.03951876016091527,0.3
1,1.0,0.28583690987124466,0.007986460067290091,0.4
1,0.1,0.3244635193133047,0.019311630588123463,0.4
1,0.01,0.37553648068669526,0.021232215607800864,0.4
2,1.0,0.2838127951910691,0.08448078023635208,0.4
2,0.1,0.29240017174753113,0.13110885096173774,0.4
2,0.01,0.35251180764276513,0.11697439104604102,0.4
3,1.0,0.3383426363246028,0.051579223314419886,0.4
3,0.1,0.31386861313868614,0.031476512107087684,0.4
3,0.01,0.34306569343065696,0.07211375345401783,0.4
4,1.0,0.26449119793902964,0.04029415490748023,0.4
4,0.1,0.28424216401889224,0.010875038462949571,0.4
4,0.01,0.3877200515242593,3.4921954217281836e-11,0.4
5,1.0,0.24742268041237114,0.06657422508540223,0.4
5,0.1,0.27276632302405496,0.007137030958434765,0.4
5,0.01,0.29424398625429554,0.02728384988369048,0.4
1,1.0,0.28240343347639485,0.02118924205243955,0.5
1,0.1,0.3141630901287554,0.009893822369025917,0.5
1,0.01,0.3785407725321888,0.025513037525572435,0.5
2,1.0,0.27179046801202233,0.08104495902892173,0.5
2,0.1,0.28510090167453844,0.11080034420751173,0.5
2,0.01,0.35337054529841133,0.1329734522263527,0.5
3,1.0,0.37312151137827393,0.06341568733527525,0.5
3,0.1,0.3301846285959639,0.017434687362902768,0.5
3,0.01,0.3374838986689566,0.0611255050974614,0.5
4,1.0,0.274796049806784,0.06811932833714995,0.5
4,0.1,0.2872477458136539,0.015895958964999624,0.5
4,0.01,0.3877200515242593,3.4921954217281836e-11,0.5
5,1.0,0.25214776632302405,0.006892332754982355,0.5
5,0.1,0.26288659793814434,0.0031321369958210443,0.5
5,0.01,0.29381443298969073,0.02473083193938541,0.5
1,1.0,0.28240343347639485,0.006214629475099431,1.0
1,0.1,0.31673819742489273,0.002525519625350081,1.0
1,0.01,0.37510729613733906,0.04184627389198747,1.0
2,1.0,0.2756547874624302,0.08758410261631278,1.0
2,0.1,0.3151567196221554,0.1113023522408556,1.0
2,0.01,0.34263632460283383,0.12953763101892235,1.0
3,1.0,0.3769858308286818,0.09942629774055456,1.0
3,0.1,0.3301846285959639,0.043019956170485596,1.0
3,0.01,0.33877200515242595,0.061672989752284635,1.0
4,1.0,0.2657793044224989,0.017410204827371212,1.0
4,0.1,0.2945470158866466,0.028263507785821096,1.0
4,0.01,0.3877200515242593,3.4921954217281836e-11,1.0
5,1.0,0.2534364261168385,0.02199836864309246,1.0
5,0.1,0.2611683848797251,0.005342577522242431,1.0
5,0.01,0.27963917525773196,0.025367047272545795,1.0
1,1.0,0.3060085836909871,0.02514941553161887,1.5
1,0.1,0.3296137339055794,0.002320569074803158,1.5
1,0.01,0.3703862660944206,0.028517877002872893,1.5
2,1.0,0.2838127951910691,0.061081990270722364,1.5
2,0.1,0.27179046801202233,0.0758749282570802,1.5
2,0.01,0.36496350364963503,0.1925037813363678,1.5
3,1.0,0.3258909403177329,0.03290305663428328,1.5
3,0.1,0.3250322026620867,0.023757749575434084,1.5
3,0.01,0.32975525976814085,0.06308411217544352,1.5
4,1.0,0.2597681408329755,0.028321469294122714,1.5
4,0.1,0.27608415629025335,0.013128294272067076,1.5
