K,budget,Error,Equal opportunity difference,fc
1,1.0,0.12053571428571429,0.08064398497654582,0.0
1,0.1,0.1256377551020408,0.08679757867479718,0.0
1,0.01,0.13924319727891157,0.020311417421172956,0.0
2,1.0,0.11689691817215728,0.09940911622904658,0.0
2,0.1,0.12072263549415516,0.12183895448883009,0.0
2,0.01,0.13581296493092454,0.05805638510503178,0.0
3,1.0,0.112221041445271,0.13411137236847176,0.0
3,0.1,0.11668437832093517,0.11451702318711365,0.0
3,0.01,0.16110520722635494,0.06969853376990376,0.0
4,1.0,0.10541976620616365,0.15780244884686473,0.0
4,0.1,0.11158342189160468,0.16721107793245488,0.0
4,0.01,0.12964930924548354,0.17537724694427814,0.0
5,1.0,0.11987247608926674,0.09766868033522519,0.0
5,0.1,0.13028692879914985,0.17929890240422203,0.0
5,0.01,0.12837407013815091,0.15026801667351025,0.0
1,1.0,0.12223639455782313,0.013528789704435606,0.1
1,0.1,0.1290391156462585,0.0013127666576520092,0.1
1,0.01,0.13796768707482993,0.024632607662949196,0.1
2,1.0,0.1134962805526036,0.010612162889483245,0.1
2,0.1,0.11923485653560043,0.0919020612415099,0.1
2,0.01,0.13241232731137087,0.0819474506129621,0.1
3,1.0,0.11115834218916047,0.0579323660431047,0.1
3,0.1,0.12072263549415516,0.07408575634184222,0.1
3,0.01,0.1600425079702444,0.1624706084740214,0.1
4,1.0,0.1030818278427205,0.10917616881389697,0.1
4,0.1,0.11158342189160468,0.1401675317116604,0.1
4,0.01,0.1343251859723698,0.07915673032389903,0.1
5,1.0,0.11753453772582359,0.07922232621335612,0.1
5,0.1,0.13198724760892666,0.17163277460717163,0.1
5,0.01,0.13283740701381508,0.10167616778534405,0.1
1,1.0,0.12329931972789115,0.0012489516074243867,0.2
1,0.1,0.13477891156462585,0.01795937716587477,0.2
1,0.01,0.13881802721088435,0.024988148632277926,0.2
2,1.0,0.11498405951115834,0.04484141117841722,0.2
2,0.1,0.11859723698193411,0.11164689443264103,0.2
