K,budget,Error,Equal opportunity difference,fc
1,1,0.175304116,0.22342135,0
1,0.1,0.174137644,0.163893468,0
1,0.01,0.211798034,0.237696845,0
2,1,0.1585,0.136282763,0
2,0.1,0.17,0.136991153,0
2,0.01,0.1825,0.204584768,0
3,1,0.167166667,0.098372909,0
3,0.1,0.177666667,0.114549403,0
3,0.01,0.213333333,0.051165243,0
4,1,0.1615,0.087633088,0
4,0.1,0.167166667,0.16994267,0
4,0.01,0.205166667,0.029484029,0
5,1,0.167194532,0.043935634,0
5,0.1,0.183030505,0.155395591,0
5,0.01,0.23453909,0.249493123,0
1,1,0.173804366,0.227640759,0.1
1,0.1,0.178636894,0.111975036,0.1
1,0.01,0.21529745,0.114276532,0.1
2,1,0.162,0.172979028,0.1
2,0.1,0.17,0.260662922,0.1
2,0.01,0.183166667,0.218604306,0.1
3,1,0.1665,0.084100458,0.1
3,0.1,0.177333333,0.063093046,0.1
3,0.01,0.212166667,0.071775323,0.1
4,1,0.1655,0.089271089,0.1
4,0.1,0.167833333,0.158476658,0.1
4,0.01,0.2075,0.01965602,0.1
5,1,0.169694949,0.01002784,0.1
5,0.1,0.180030005,0.040773328,0.1
5,0.01,0.242540423,0.187744927,0.1
1,1,0.172471255,0.236027742,0.2
1,0.1,0.183136144,0.09552245,0.2
1,0.01,0.217130478,0.080500524,0.2
2,1,0.173333333,0.249114512,0.2
2,0.1,0.176666667,0.201314641,0.2
2,0.01,0.184666667,0.17895916,0.2
3,1,0.1655,0.130076791,0.2
3,0.1,0.179166667,0.106252655,0.2
3,0.01,0.223,0.046322523,0.2
4,1,0.177666667,0.05978706,0.2
4,0.1,0.171666667,0.158067158,0.2
4,0.01,0.209333333,0.051187551,0.2
5,1,0.17686281,0.149592985,0.2
5,0.1,0.185530922,0.081807659,0.2
5,0.01,0.262543757,0.262467658,0.2
1,1,0.173304449,0.244466561,0.3
1,0.1,0.194134311,0.081754943,0.3
1,0.01,0.220129978,0.053276522,0.3
2,1,0.180166667,0.313973411,0.3
2,0.1,0.1835,0.168283883,0.3
2,0.01,0.192833333,0.166891814,0.3
3,1,0.166333333,0.18234748,0.3
3,0.1,0.1845,0.108310123,0.3
3,0.01,0.2225,0.065052164,0.3
4,1,0.190166667,0.173628174,0.3
4,0.1,0.174666667,0.148648649,0.3
4,0.01,0.208333333,0.027846028,0.3
5,1,0.175195866,0.210395515,0.3
5,0.1,0.188698116,0.0837406,0.3
5,0.01,0.265544257,0.275298452,0.3
1,1,0.176637227,0.246156398,0.4
1,0.1,0.205465756,0.085113883,0.4
1,0.01,0.220463256,0.07122197,0.4
2,1,0.188666667,0.291181364,0.4
2,0.1,0.186833333,0.16375348,0.4
2,0.01,0.198,0.150623548,0.4
3,1,0.168166667,0.223382744,0.4
3,0.1,0.186833333,0.119006593,0.4
3,0.01,0.219166667,0.074658925,0.4
4,1,0.183166667,0.24037674,0.4
4,0.1,0.176333333,0.187141687,0.4
4,0.01,0.212833333,0.04954955,0.4
5,1,0.194199033,0.22256056,0.4
5,0.1,0.185030838,0.03346144,0.4
5,0.01,0.268044674,0.289733095,0.4
1,1,0.177803699,0.27234369,0.5
1,0.1,0.210464923,0.113011746,0.5
1,0.01,0.225462423,0.064846204,0.5
2,1,0.198,0.222129784,0.5
2,0.1,0.184166667,0.197780926,0.5
2,0.01,0.189,0.143597305,0.5
3,1,0.1685,0.252588554,0.5
3,0.1,0.1835,0.1282829,0.5
3,0.01,0.226,0.079930447,0.5
4,1,0.2045,0.209254709,0.5
4,0.1,0.1815,0.194512695,0.5
4,0.01,0.216666667,0.046683047,0.5
5,1,0.187031172,0.229637923,0.5
5,0.1,0.199866644,0.062134027,0.5
5,0.01,0.266711119,0.297752341,0.5
1,1,0.1958007,0.305487305,1
1,0.1,0.202466256,0.089260722,1
1,0.01,0.242959507,0,1
2,1,0.234,0,1
2,0.1,0.183166667,0.164618375,1
2,0.01,0.208166667,0.127576152,1
3,1,0.189833333,0.290618263,1
3,0.1,0.189333333,0.102688477,1
3,0.01,0.229,0.107188941,1
4,1,0.2115,0.175266175,1
4,0.1,0.201166667,0.12039312,1
4,0.01,0.227333333,0.001638002,1
5,1,0.236372729,0.039294306,1
5,0.1,0.198366394,0.114308302,1
5,0.01,0.271878646,0.322990271,1
1,1,0.242959507,0,1.5
1,0.1,0.223962673,0.086586011,1.5
1,0.01,0.242959507,0,1.5
2,1,0.2325,0.007487521,1.5
2,0.1,0.196166667,0.208143194,1.5
2,0.01,0.2015,0.124668457,1.5
3,1,0.239166667,0,1.5
3,0.1,0.187833333,0.183382115,1.5
3,0.01,0.250666667,0.096657697,1.5
4,1,0.237166667,0.022932023,1.5
4,0.1,0.205166667,0.109336609,1.5
4,0.01,0.236833333,0.005323505,1.5
5,1,0.240206701,0.016840417,1.5
5,0.1,0.189364894,0.174123557,1.5
5,0.01,0.272712119,0.294030201,1.5
1,1,0.242959507,0,2
1,0.1,0.241459757,0.008065603,2
1,0.01,0.242959507,0,2
2,1,0.233166667,0.005823627,2
2,0.1,0.2,0.215465973,2
2,0.01,0.2105,0.076283752,2
3,1,0.239166667,0,2
3,0.1,0.193833333,0.135084738,2
3,0.01,0.233333333,0.129935168,2
4,1,0.2405,0,2
4,0.1,0.209666667,0.135544636,2
4,0.01,0.237166667,0.033579034,2
5,1,0.243207201,0,2
5,0.1,0.216869478,0.086448987,2
5,0.01,0.250875146,0.177796523,2
1,1,0.242959507,0,3
1,0.1,0.22296284,0.153173887,3
1,0.01,0.242959507,0,3
2,1,0.234,0,3
