K,budget,Error,Equal opportunity difference,fc
1,1,0.10152534,0.015820497,0
1,0.1,0.10086928,0.165461825,0
1,0.01,0.112842381,0.056775844,0
2,1,0.103312561,0.144977829,0
2,0.1,0.110200066,0.117755928,0
2,0.01,0.12069531,0.119298246,0
3,1,0.099376845,0.246984358,0
3,0.1,0.107904231,0.168246288,0
3,0.01,0.116595605,0.047952015,0
4,1,0.105772384,0.076629571,0
4,0.1,0.10708429,0.111844197,0
4,0.01,0.114135782,0.073529412,0
5,1,0.093980646,0.178667137,0
5,0.1,0.099721174,0.185719323,0
5,0.01,0.132032147,0.052503526,0
1,1,0.10119731,0.093282545,0.1
1,0.1,0.102181401,0.034755046,0.1
1,0.01,0.112678366,0.019518434,0.1
2,1,0.104296491,0.113938693,0.1
2,0.1,0.118563463,0.128128012,0.1
2,0.01,0.122827156,0.21715828,0.1
3,1,0.101508691,0.18319194,0.1
3,0.1,0.112167924,0.052889714,0.1
3,0.01,0.119219416,0.091397137,0.1
4,1,0.105936373,0.054689984,0.1
4,0.1,0.111183995,0.103418124,0.1
4,0.01,0.114627747,0.117488076,0.1
5,1,0.098901099,0.075458392,0.1
5,0.1,0.108577989,0.116995769,0.1
5,0.01,0.138100705,0.037764457,0.1
1,1,0.112678366,0.080881944,0.2
1,0.1,0.103493521,0.029277651,0.2
1,0.01,0.115302608,0.019574042,0.2
2,1,0.108068219,0.158048968,0.2
2,0.1,0.129714661,0.143435512,0.2
2,0.01,0.123811086,0.125814536,0.2
3,1,0.104460479,0.256163839,0.2
3,0.1,0.115939652,0.142232237,0.2
3,0.01,0.125450968,0.118305938,0.2
4,1,0.109052148,0.095310016,0.2
4,0.1,0.116267629,0.052066772,0.2
4,0.01,0.115775664,0.141494435,0.2
5,1,0.105953748,0.111600846,0.2
5,0.1,0.099721174,0.134943582,0.2
5,0.01,0.151385928,0.053279267,0.2
1,1,0.116450713,0.127092254,0.3
1,0.1,0.108906019,0.004726686,0.3
1,0.01,0.117106774,0.049769226,0.3
2,1,0.121679239,0.212955465,0.3
2,0.1,0.128238767,0.098669751,0.3
2,0.01,0.125942932,0.132562175,0.3
3,1,0.108232207,0.227564952,0.3
3,0.1,0.119547393,0.068995228,0.3
3,0.01,0.128074779,0.139779957,0.3
4,1,0.129386684,0.00381558,0.3
4,0.1,0.113315841,0.077106518,0.3
4,0.01,0.11889144,0.152702703,0.3
5,1,0.113990487,0.106593794,0.3
5,0.1,0.104313597,0.1803244,0.3
5,0.01,0.14728555,0.033638928,0.3
1,1,0.127439724,0.146082411,0.4
1,0.1,0.114810563,0.03189123,0.4
1,0.01,0.119402985,0.034755046,0.4
2,1,0.125450968,0.194062078,0.4
2,0.1,0.142013775,0.157624831,0.4
2,0.01,0.133158413,0.367457104,0.4
3,1,0.110528042,0.207118239,0.4
3,0.1,0.125942932,0.142033404,0.4
3,0.01,0.134634306,0.168113733,0.4
4,1,0.138570023,0.018441972,0.4
4,0.1,0.117251558,0.084896661,0.4
4,0.01,0.119383404,0.150317965,0.4
5,1,0.124815483,0.04657969,0.4
5,0.1,0.123995408,0.090056417,0.4
5,0.01,0.154338199,0.011459802,0.4
1,1,0.132688207,0.211310682,0.5
1,0.1,0.117106774,0.008730468,0.5
1,0.01,0.124323438,0.108185508,0.5
2,1,0.128566743,0.176749566,0.5
2,0.1,0.150049196,0.156506651,0.5
2,0.01,0.135618235,0.332138037,0.5
3,1,0.121679239,0.178519353,0.5
3,0.1,0.133650377,0.116151909,0.5
3,0.01,0.138242047,0.162612672,0.5
4,1,0.150213185,0.032591415,0.5
4,0.1,0.119383404,0.131558028,0.5
4,0.01,0.124139062,0.168600954,0.5
5,1,0.126455634,0.140937941,0.5
5,0.1,0.131376087,0.060049365,0.5
5,0.01,0.157126456,0.008638928,0.5
1,1,0.168115467,0.13354279,1
1,0.1,0.159258652,0.04462548,1
1,0.01,0.160078727,0.097091698,1
2,1,0.157592653,0.067669173,1
2,0.1,0.168415874,0.116483516,1
2,0.01,0.135126271,0.225949489,1
3,1,0.162020335,0.121122746,1
3,0.1,0.148737291,0.090204136,1
3,0.01,0.165300098,0.091827943,1
4,1,0.191702197,0.031160573,1
4,0.1,0.132666448,0.129570747,1
4,0.01,0.123811086,0.090461049,1
5,1,0.16565524,0.138998589,1
5,0.1,0.141381007,0.033497884,1
5,0.01,0.162374938,0.041325811,1
1,1,0.198294243,0.047711728,1.5
1,0.1,0.186813187,0.046099094,1.5
1,0.01,0.217319993,0.11060446,1.5
2,1,0.204329288,0.085020243,1.5
2,0.1,0.185798622,0.159012917,1.5
2,0.01,0.142833716,0.232928475,1.5
3,1,0.17333552,0.09252386,1.5
3,0.1,0.174483437,0.073767232,1.5
3,0.01,0.197441784,0.106574761,1.5
4,1,0.207117088,0.022019078,1.5
4,0.1,0.144473598,0.049841017,1.5
4,0.01,0.143653657,0.246740858,1.5
5,1,0.177628342,0.093864598,1.5
5,0.1,0.170411678,0.02425952,1.5
5,0.01,0.179760538,0.041960508,1.5
1,1,0.204034771,0.049046321,2
1,0.1,0.199442349,0.001501418,2
1,0.01,0.271937018,0.073791914,2
2,1,0.19694982,0.089068826,2
2,0.1,0.200065595,0.126624253,2
2,0.01,0.144473598,0.179834201,2
3,1,0.195801902,0.023296659,2
3,0.1,0.193506068,0.012692206,2
3,0.01,0.220400131,0.118670466,2
4,1,0.216300426,0.046343402,2
4,0.1,0.161200394,0.084022257,2
4,0.01,0.147425385,0.222416534,2
5,1,0.194685911,0.111424541,2
5,0.1,0.184516976,0.055535966,2
5,0.01,0.187469247,0.052856135,2
1,1,0.21010333,0.016376578,3
1,0.1,0.239954076,0.014902964,3
1,0.01,0.275709365,0.038313963,3
2,1,0.215644474,0.049932523,3
2,0.1,0.22417186,0.114709851,3
2,0.01,0.17874713,0.186389049,3
3,1,0.223843883,0.029957582,3
3,0.1,0.225483765,0.028134942,3
3,0.01,0.260085274,0.124038971,3
4,1,0.236142998,0.006438792,3
4,0.1,0.173991473,0.053974563,3
4,0.01,0.179731059,0.216375199,3
5,1,0.222568476,0.064880113,3
5,0.1,0.239626046,0.020909732,3
5,0.01,0.195670002,0.082475317,3
1,1,0.21075939,0.008202191,4
1,0.1,0.249466951,0.013651782,4
1,0.01,0.339839265,0.046432742,4
2,1,0.249262053,0.026990553,4
2,0.1,0.243358478,0.090418353,4
2,0.01,0.212856674,0.170657413,4
3,1,0.224499836,0.032674973,4
3,0.1,0.232863234,0.029559915,4
3,0.01,0.295014759,0.096865058,4
4,1,0.229255494,0.000317965,4
4,0.1,0.168907839,0.006200318,4
4,0.01,0.256313545,0.224880763,4
5,1,0.242742332,0.033850493,4
5,0.1,0.244054453,0.025246827,4
5,0.01,0.19206167,0.082475317,4
1,1,0.204854847,0.03133515,5
1,0.1,0.259635887,0.008202191,5
1,0.01,0.407413482,0.057276316,5
2,1,0.260741227,0.018893387,5
2,0.1,0.255657593,0.071524966,5
2,0.01,0.224663824,0.132870638,5
3,1,0.228763529,0.032674973,5
3,0.1,0.252377829,0.021474019,5
3,0.01,0.324532634,0.068332449,5
4,1,0.248114136,0.009141495,5
4,0.1,0.181698918,0.035930048,5
4,0.01,0.286815349,0.222496025,5
5,1,0.245202559,0.031029619,5
5,0.1,0.271937018,0.009238364,5
5,0.01,0.207807118,0.08067701,5
