K,budget,Error,Equal opportunity difference,fc
1,1.0,0.2849785407725322,0.04386933408176841,0.0
1,0.1,0.31931330472103003,0.03134751676704606,0.0
1,0.01,0.36952789699570815,0.05408049930755909,0.0
2,1.0,0.26878488621726065,0.12458926612718191,0.0
2,0.1,0.29154143409188493,0.07330621183185537,0.0
2,0.01,0.31730356376127095,0.042253429279414556,0.0
3,1.0,0.33319021039072566,0.12525060914146657,0.0
3,0.1,0.3069987118935165,0.04245704941162565,0.0
3,0.01,0.33963074280807215,0.05930569689809184,0.0
4,1.0,0.291970802919708,0.06621746451696542,0.0
4,0.1,0.2683555173894375,0.09093807165930623,0.0
4,0.01,0.28767711464147705,0.12557010628984167,0.0
5,1.0,0.23539518900343642,0.09880913536162705,0.0
5,0.1,0.2615979381443299,0.05809951056733875,0.0
5,0.01,0.297680412371134,0.0676019575482707,0.0
1,1.0,0.3141630901287554,0.046973343177393545,0.1
1,0.1,0.3300429184549356,0.01595308613278923,0.1
1,0.01,0.3703862660944206,0.04123803355424438,0.1
2,1.0,0.2782310004293688,0.1312913993361685,0.1
2,0.1,0.29068269643623873,0.05729411148298702,0.1
2,0.01,0.3194504079003864,0.05585328324037542,0.1
3,1.0,0.3482181193645341,0.06616853271342804,0.1
3,0.1,0.31215113782739373,0.042464760463644,0.1
3,0.01,0.34693001288106484,0.06619166586948311,0.1
4,1.0,0.2722198368398454,0.060714738510076915,0.1
4,0.1,0.2713610991841992,0.09581408825091442,0.1
4,0.01,0.28510090167453844,0.12473328620616664,0.1
5,1.0,0.24355670103092783,0.06175367043764013,0.1
5,0.1,0.2667525773195876,0.04533442084581363,0.1
5,0.01,0.2981099656357388,0.05515497549332571,0.1
1,1.0,0.29055793991416307,0.016554715156634203,0.2
1,0.1,0.336480686695279,0.015404347620128211,0.2
1,0.01,0.3738197424892704,0.06572962396900639,0.2
2,1.0,0.2765135251180764,0.08086241065449096,0.2
2,0.1,0.28338342636324604,0.06779064306398741,0.2
2,0.01,0.31472735079433234,0.05223491365851429,0.2
3,1.0,0.36324602833834263,0.0618117886308972,0.2
3,0.1,0.32803778445684845,0.058195305484408766,0.2
3,0.01,0.34693001288106484,0.032378705135514996,0.2
4,1.0,0.24516960068699012,0.0729301381708054,0.2
4,0.1,0.26878488621726065,0.057787679512166235,0.2
4,0.01,0.29154143409188493,0.1248781901166085,0.2
5,1.0,0.2418384879725086,0.04192495917896466,0.2
5,0.1,0.2766323024054983,0.03855628054951121,0.2
5,0.01,0.29982817869415807,0.05994290371535549,0.2
1,1.0,0.28412017167381975,0.03472258949210105,0.3
1,0.1,0.33304721030042916,0.021767731552762903,0.3
1,0.01,0.3824034334763948,0.08254879147122107,0.3
2,1.0,0.26878488621726065,0.08843816822996153,0.3
2,0.1,0.27264920566766854,0.09222604701769688,0.3
2,0.01,0.3052812365822241,0.05310201844071982,0.3
3,1.0,0.3203091455560326,0.07960889543866145,0.3
3,0.1,0.33791326749677975,0.11731593717253874,0.3
3,0.01,0.3473593817088879,0.02715832328464851,0.3
4,1.0,0.2829540575354229,0.021891358316281306,0.3
4,0.1,0.27007299270072993,0.08952163593386375,0.3
4,0.01,0.2838127951910691,0.11760401380544094,0.3
5,1.0,0.24871134020618557,0.03515497549432567,0.3
5,0.1,0.265893470790378,0.05788743878961866,0.3
5,0.01,0.29381443298969073,0.057495921659910576,0.3
1,1.0,0.2931330472103004,0.007490611915570544,0.4
1,0.1,0.3240343347639485,0.009764901913281832,0.4
1,0.01,0.37296137339055796,0.05414661238644203,0.4
2,1.0,0.27608415629025335,0.0488512491253108,0.4
2,0.1,0.2928295405753542,0.06142100868247047,0.4
2,0.01,0.31902103907256335,0.054471131256269234,0.4
3,1.0,0.37913267496779735,0.07903827762778326,0.4
3,0.1,0.3490768570201803,0.08516856355909541,0.4
3,0.01,0.3366251610133104,0.010101477412926552,0.4
4,1.0,0.28166595105195363,0.018616529884419197,0.4
4,0.1,0.2623443537999141,0.08158814682843929,0.4
4,0.01,0.2829540575354229,0.12418627394337545,0.4
5,1.0,0.24312714776632302,0.050228384956703565,0.4
5,0.1,0.27233676975945015,0.03681892329035452,0.4
5,0.01,0.2959621993127148,0.06423327891881736,0.4
1,1.0,0.30815450643776826,0.002297429551281427,0.5
1,0.1,0.34163090128755363,0.011328476252903674,0.5
1,0.01,0.3721030042918455,0.05626223094074667,0.5
2,1.0,0.26534993559467585,0.0896312522553585,0.5
2,0.1,0.29755259768140835,0.06142752826674891,0.5
2,0.01,0.29927007299270075,0.05241746203294506,0.5
3,1.0,0.3688278231000429,6.168843538578717e-05,0.5
3,0.1,0.31902103907256335,0.04443107859364448,0.5
3,0.01,0.3293258909403177,0.01173622032537791,0.5
4,1.0,0.2696436238729068,0.014341864578766184,0.5
4,0.1,0.28681837698583085,0.03881251242408479,0.5
4,0.01,0.2863890081580077,0.1230596460388167,0.5
5,1.0,0.23754295532646047,0.027993474679978703,0.5
5,0.1,0.27448453608247425,0.030187601920307894,0.5
5,0.01,0.30670103092783507,0.06710440452970245,0.5
1,1.0,0.3051502145922747,0.020333077668885258,1.0
1,0.1,0.32532188841201715,0.032511107021493735,1.0
1,0.01,0.3746781115879828,0.03135082246906784,1.0
2,1.0,0.2674967797337913,0.05625749749490727,1.0
2,0.1,0.29755259768140835,0.05953032908074196,1.0
2,0.01,0.3095749248604551,0.04467219525160038,1.0
3,1.0,0.37655646200085874,0.07557601552166138,1.0
3,0.1,0.3087161872048089,0.061973720704043056,1.0
3,0.01,0.31902103907256335,0.00038555260091654997,1.0
4,1.0,0.25375697724345214,0.02807875524675174,1.0
4,0.1,0.26363246028338344,0.052476951189232346,1.0
4,0.01,0.2898239587805925,0.11039504425222613,1.0
5,1.0,0.24312714776632302,0.03178629686487233,1.0
5,0.1,0.28393470790378006,0.031003262605456272,1.0
5,0.01,0.30412371134020616,0.0647634583631177,1.0
1,1.0,0.2939914163090129,0.006297270823703127,1.5
1,0.1,0.3163090128755365,0.010217776509640064,1.5
1,0.01,0.3699570815450644,0.021883429440808122,1.5
2,1.0,0.2730785744954916,0.05384525110699989,1.5
2,0.1,0.28338342636324604,0.060038856698364285,1.5
2,0.01,0.27264920566766854,0.058115579175244014,1.5
3,1.0,0.3598110777157578,0.07486659877445323,1.5
3,0.1,0.32073851438385576,0.060639708801067393,1.5
3,0.01,0.3168741949334478,0.0020280065653862644,1.5
4,1.0,0.2971232288535852,0.03417920987984768,1.5
4,0.1,0.28939458995276945,0.04093897730720064,1.5
4,0.01,0.2911120652640618,0.1099929358998768,1.5
5,1.0,0.24527491408934707,0.021003262605956308,1.5
5,0.1,0.28350515463917525,0.054975530141337825,1.5
5,0.01,0.29982817869415807,0.0704730831591559,1.5
1,1.0,0.2935622317596567,0.027298090625364924,2.0
1,0.1,0.3218884120171674,0.01112352570235664,2.0
1,0.01,0.38068669527897,0.025053551615316083,2.0
2,1.0,0.274796049806784,0.06262061229214577,2.0
2,0.1,0.3310433662516101,0.054725395057762194,2.0
2,0.01,0.3151567196221554,0.0832094611996147,2.0
3,1.0,0.3696865607556891,0.05868110172308527,2.0
3,0.1,0.32803778445684845,0.05157151226240153,2.0
3,0.01,0.32975525976814085,0.008127448230907719,2.0
4,1.0,0.27951910691283816,0.030734119408218574,2.0
4,0.1,0.3061399742378703,0.03355250046456737,2.0
4,0.01,0.29068269643623873,0.07975511235611099,2.0
5,1.0,0.25214776632302405,0.013980424106201483,2.0
5,0.1,0.35223367697594504,0.01170473079108103,2.0
5,0.01,0.2972508591065292,0.051924959178464625,2.0
1,1.0,0.3158798283261803,0.02091817842300958,3.0
1,0.1,0.38755364806866954,3.004851922838725e-11,3.0
1,0.01,0.38755364806866954,3.004851922838725e-11,3.0
2,1.0,0.30141691713181623,0.03458639750941017,3.0
2,0.1,0.31129240017174753,0.07640953421181607,3.0
2,0.01,0.3044224989265779,0.04396808009099051,3.0
3,1.0,0.37097466723915845,0.05561210323141996,3.0
3,0.1,0.32116788321167883,0.06447981243684842,3.0
3,0.01,0.3877200515242593,3.847822060976114e-11,3.0
4,1.0,0.27436668097896094,0.020420583567674733,3.0
4,0.1,0.3877200515242593,3.4921954217281836e-11,3.0
4,0.01,0.3877200515242593,3.4921954217281836e-11,3.0
5,1.0,0.3290378006872852,0.010285481198504476,3.0
5,0.1,0.3853092783505155,4.184352864200491e-11,3.0
5,0.01,0.2646048109965636,0.02518760192055791,3.0
1,1.0,0.3802575107296137,0.0017123287370600648,4.0
1,0.1,0.38626609442060084,3.004851922838725e-11,4.0
1,0.01,0.37682403433476397,0.005170042870815905,4.0
2,1.0,0.3877200515242593,2.927302844568658e-11,4.0
2,0.1,0.3877200515242593,2.927302844568658e-11,4.0
2,0.01,0.279089738085015,0.04468523442015715,4.0
3,1.0,0.4010304851867754,0.024220412658055746,4.0
3,0.1,0.34607127522541864,0.03966564877338119,4.0
3,0.01,0.3877200515242593,3.847822060976114e-11,4.0
4,1.0,0.45684843280377846,0.06495317795161593,4.0
4,0.1,0.3877200515242593,3.4921954217281836e-11,4.0
4,0.01,0.3877200515242593,3.4921954217281836e-11,4.0
5,1.0,0.38788659793814434,0.001631321328453117,4.0
5,0.1,0.375,0.006313213661622852,4.0
5,0.01,0.2646048109965636,0.040791190827236146,4.0
1,1.0,0.3871244635193133,3.004851922838725e-11,5.0
1,0.1,0.38755364806866954,3.004851922838725e-11,5.0
1,0.01,0.38755364806866954,3.004851922838725e-11,5.0
2,1.0,0.3877200515242593,2.927302844568658e-11,5.0
2,0.1,0.36238729068269643,0.017381213135144846,5.0
2,0.01,0.30098754830399316,0.07685286598665464,5.0
3,1.0,0.39759553456419067,0.044855186416174475,5.0
3,0.1,0.3516530699871189,0.06417137037535436,5.0
3,0.01,0.33705452984113354,0.0004395299650449269,5.0
4,1.0,0.46114212108200947,0.07291927043601665,5.0
4,0.1,0.3877200515242593,3.4921954217281836e-11,5.0
4,0.01,0.3877200515242593,3.4921954217281836e-11,5.0
5,1.0,0.3870274914089347,4.184352864200491e-11,5.0
5,0.1,0.38316151202749144,0.004078303383898141,5.0
5,0.01,0.3603951890034364,0.013548123939097767,5.0
