K,budget,Error,Equal opportunity difference,fc
1,1,0.117772109,0.063660066,0
1,0.1,0.123086735,0.093908398,0
1,0.01,0.15625,0.134686212,0
2,1,0.11455898,0.044412176,0
2,0.1,0.123910733,0.07093345,0
2,0.01,0.139851222,0.078166525,0
3,1,0.108820404,0.094521229,0
3,0.1,0.112008502,0.010122154,0
3,0.01,0.130286929,0.028665099,0
4,1,0.106482465,0.19017655,0
4,0.1,0.110095643,0.13841406,0
4,0.01,0.130074389,0.036933128,0
5,1,0.118172157,0.104415894,0
5,0.1,0.126036132,0.140398196,0
5,0.01,0.132412327,0.17221135,0
1,1,0.118622449,0.023256026,0.1
1,0.1,0.12329932,0.053878131,0.1
1,0.01,0.15667517,0.155973088,0.1
2,1,0.113071201,0.015059773,0.1
2,0.1,0.121785335,0.01326977,0.1
2,0.01,0.14303932,0.161173365,0.1
3,1,0.107970244,0.091395691,0.1
3,0.1,0.11434644,0.022461815,0.1
3,0.01,0.131562168,0.003555658,0.1
4,1,0.106482465,0.131680728,0.1
4,0.1,0.111158342,0.133654636,0.1
4,0.01,0.129436769,0.116089858,0.1
5,1,0.116046759,0.083595678,0.1
5,0.1,0.123485654,0.123228112,0.1
5,0.01,0.135600425,0.197966477,0.1
1,1,0.123937075,0.010265106,0.2
1,0.1,0.123937075,0.046657915,0.2
1,0.01,0.154761905,0.163193305,0.2
2,1,0.112858661,0.027580664,0.2
2,0.1,0.119234857,0.032603633,0.2
2,0.01,0.140063762,0.142013023,0.2
3,1,0.116259299,0.047408767,0.2
3,0.1,0.116896918,0.02458374,0.2
3,0.01,0.132412327,0.013486647,0.2
4,1,0.102869288,0.097683413,0.2
4,0.1,0.112221041,0.126219915,0.2
4,0.01,0.129436769,0.123284103,0.2
5,1,0.116896918,0.0534672,0.2
5,0.1,0.123060574,0.117382796,0.2
5,0.01,0.138363443,0.182625713,0.2
1,1,0.134778912,0.031105277,0.3
1,0.1,0.12414966,0.045217518,0.3
1,0.01,0.153911565,0.134330671,0.3
2,1,0.122848034,0.025881988,0.3
2,0.1,0.122210414,0.052111017,0.3
2,0.01,0.134962806,0.140551796,0.3
3,1,0.130712009,0.004549712,0.3
3,0.1,0.120722635,0.007484086,0.3
3,0.01,0.132199787,0.006251075,0.3
4,1,0.125823592,0.025089678,0.3
4,0.1,0.11392136,0.135608505,0.3
4,0.01,0.12858661,0.122933408,0.3
5,1,0.121147715,0.071930571,0.3
5,0.1,0.124123273,0.10094444,0.3
5,0.01,0.137300744,0.163268953,0.3
1,1,0.138392857,0.021323342,0.4
1,0.1,0.125,0.048809394,0.4
1,0.01,0.15327381,0.139025635,0.4
2,1,0.134325186,0.009607569,0.4
2,0.1,0.123698193,0.073344475,0.4
2,0.01,0.131137088,0.139528937,0.4
3,1,0.137938363,0.007235572,0.4
3,0.1,0.125823592,0.028913613,0.4
3,0.01,0.134112646,0.019298044,0.4
4,1,0.133049947,0.018226088,0.4
4,0.1,0.117321998,0.096831727,0.4
4,0.01,0.129436769,0.128043526,0.4
5,1,0.146014878,0,0.4
5,0.1,0.124335813,0.100757253,0.4
5,0.01,0.138575983,0.145554327,0.4
1,1,0.141581633,0.001795938,0.5
1,0.1,0.125212585,0.050997338,0.5
1,0.01,0.147534014,0.105486271,0.5
2,1,0.140701382,0,0.5
2,0.1,0.135175345,0.035955323,0.5
2,0.01,0.12794899,0.123172324,0.5
3,1,0.138788523,0,0.5
3,0.1,0.131349628,0.027508555,0.5
3,0.01,0.135812965,0.006805452,0.5
4,1,0.130286929,0.054788481,0.5
4,0.1,0.121147715,0.066651971,0.5
4,0.01,0.131137088,0.137562373,0.5
5,1,0.146014878,0,0.5
5,0.1,0.123485654,0.105343317,0.5
5,0.01,0.139426142,0.141538331,0.5
1,1,0.143069728,0,1
1,0.1,0.142431973,0.009016154,1
1,0.01,0.151360544,0.106926667,1
2,1,0.140701382,0,1
2,0.1,0.140063762,0.015625999,1
2,0.01,0.140701382,0,1
3,1,0.138788523,0,1
3,0.1,0.138788523,0,1
3,0.01,0.136450584,0.014891705,1
4,1,0.135387885,0,1
4,0.1,0.129861849,0.026472415,1
4,0.01,0.135600425,0.146971003,1
5,1,0.146014878,0,1
5,0.1,0.146014878,0,1
5,0.01,0.14282678,0.054062792,1
1,1,0.143069728,0,1.5
1,0.1,0.143069728,0,1.5
1,0.01,0.150085034,0.08347008,1.5
2,1,0.140701382,0,1.5
2,0.1,0.140701382,0,1.5
2,0.01,0.140701382,0,1.5
3,1,0.138788523,0,1.5
3,0.1,0.138788523,0,1.5
3,0.01,0.136450584,0.00950087,1.5
4,1,0.135387885,0,1.5
4,0.1,0.134325186,0.018446524,1.5
4,0.01,0.129861849,0.113063866,1.5
5,1,0.146014878,0,1.5
5,0.1,0.146014878,0,1.5
5,0.01,0.146014878,0,1.5
1,1,0.143069728,0,2
1,0.1,0.143069728,0,2
1,0.01,0.135629252,0.068710571,2
2,1,0.140701382,0,2
2,0.1,0.140701382,0,2
2,0.01,0.140488842,0.002949853,2
3,1,0.138788523,0,2
3,0.1,0.138788523,0,2
3,0.01,0.138788523,0,2
4,1,0.135387885,0,2
4,0.1,0.134750266,0.018797218,2
4,0.01,0.135387885,0,2
5,1,0.146014878,0,2
5,0.1,0.146014878,0,2
5,0.01,0.146014878,0,2
1,1,0.143069728,0,3
1,0.1,0.143069728,0,3
1,0.01,0.131802721,0.026173285,3
2,1,0.140701382,0,3
2,0.1,0.140701382,0,3
2,0.01,0.140701382,0,3
3,1,0.138788523,0,3
3,0.1,0.138788523,0,3
3,0.01,0.138150903,0.017730496,3
4,1,0.135387885,0,3
4,0.1,0.135387885,0,3
4,0.01,0.135387885,0,3
5,1,0.146014878,0,3
5,0.1,0.146014878,0,3
5,0.01,0.146014878,0,3
1,1,0.143069728,0,4
1,0.1,0.143069728,0,4
1,0.01,0.142644558,0.012626263,4
2,1,0.140701382,0,4
2,0.1,0.140701382,0,4
2,0.01,0.140701382,0,4
3,1,0.138788523,0,4
3,0.1,0.138788523,0,4
3,0.01,0.139213603,0,4
4,1,0.135387885,0,4
4,0.1,0.135387885,0,4
4,0.01,0.135387885,0,4
5,1,0.146014878,0,4
5,0.1,0.146014878,0,4
5,0.01,0.146014878,0,4
1,1,0.143069728,0,5
1,0.1,0.143069728,0,5
1,0.01,0.143069728,0,5
2,1,0.140701382,0,5
2,0.1,0.140701382,0,5
2,0.01,0.140701382,0,5
3,1,0.138788523,0,5
3,0.1,0.138788523,0,5
3,0.01,0.195111583,0.057559595,5
4,1,0.135387885,0,5
4,0.1,0.135387885,0,5
4,0.01,0.135387885,0,5
5,1,0.146014878,0,5
5,0.1,0.146014878,0,5
5,0.01,0.146014878,0,5
