K,budget,Error,Equal opportunity difference,fc
1,1,0.17463756,0.13527306,0
1,0.1,0.175970672,0.234995049,0
1,0.01,0.198466922,0.145231929,0
2,1,0.1625,0.110774254,0
2,0.1,0.177,0.154477612,0
2,0.01,0.185333333,0.227472015,0
3,1,0.165166667,0.135578869,0
3,0.1,0.165833333,0.196160836,0
3,0.01,0.179166667,0.199248276,0
4,1,0.161,0.241778821,0
4,0.1,0.168833333,0.218562391,0
4,0.01,0.184333333,0.040483146,0
5,1,0.159359893,0.123834539,0
5,0.1,0.163193866,0.300734525,0
5,0.01,0.212202034,0.02113749,0
1,1,0.174304283,0.080204128,0.1
1,0.1,0.178803533,0.2330147,0.1
1,0.01,0.202132978,0.226083479,0.1
2,1,0.160666667,0.189785448,0.1
2,0.1,0.1735,0.145708955,0.1
2,0.01,0.187166667,0.121781716,0.1
3,1,0.163666667,0.207157903,0.1
3,0.1,0.165333333,0.194384784,0.1
3,0.01,0.180166667,0.274492999,0.1
4,1,0.162333333,0.349922044,0.1
4,0.1,0.167,0.214601889,0.1
4,0.01,0.1925,0.070455727,0.1
5,1,0.155192532,0.310387957,0.1
5,0.1,0.169861644,0.271853823,0.1
5,0.01,0.215202534,0.047755492,0.1
1,1,0.171138144,0.054935639,0.2
1,0.1,0.176637227,0.293472466,0.2
1,0.01,0.200466589,0.196149745,0.2
2,1,0.159,0.130317164,0.2
2,0.1,0.1735,0.152518657,0.2
2,0.01,0.182833333,0.138899254,0.2
3,1,0.163333333,0.296642022,0.2
3,0.1,0.169166667,0.214912643,0.2
3,0.01,0.179833333,0.231237867,0.2
4,1,0.161,0.155839501,0.2
4,0.1,0.1715,0.162595652,0.2
4,0.01,0.190833333,0.063403882,0.2
5,1,0.155692615,0.299188157,0.2
5,0.1,0.172195366,0.285464138,0.2
5,0.01,0.214535756,0.065550098,0.2
1,1,0.17313781,0.172176099,0.3
1,0.1,0.183302783,0.2095171,0.3
1,0.01,0.209798367,0.150620763,0.3
2,1,0.1605,0.093143657,0.3
2,0.1,0.174,0.107929105,0.3
2,0.01,0.183,0.151445896,0.3
3,1,0.157,0.241883854,0.3
3,0.1,0.1675,0.245704432,0.3
3,0.01,0.181833333,0.195737475,0.3
4,1,0.169166667,0.126995932,0.3
4,0.1,0.182,0.205802763,0.3
4,0.01,0.1925,0.067516711,0.3
5,1,0.153692282,0.141776959,0.3
5,0.1,0.17386231,0.25609451,0.3
5,0.01,0.20870145,0.082628371,0.3
1,1,0.17313781,0.157171148,0.4
1,0.1,0.180969838,0.295110062,0.4
1,0.01,0.209631728,0.142527992,0.4
2,1,0.163333333,0.090158582,0.4
2,0.1,0.173833333,0.135634328,0.4
2,0.01,0.182,0.156716418,0.4
3,1,0.159333333,0.093552518,0.4
3,0.1,0.166666667,0.238063277,0.4
3,0.01,0.179833333,0.217576721,0.4
4,1,0.173,0.088053977,0.4
4,0.1,0.185,0.139836204,0.4
4,0.01,0.193,0.069281913,0.4
5,1,0.159693282,0.035907582,0.4
5,0.1,0.181196866,0.287726839,0.4
5,0.01,0.2072012,0.079763042,0.4
1,1,0.171804699,0.067046233,0.5
1,0.1,0.187302116,0.287607586,0.5
1,0.01,0.23046159,0.171338259,0.5
2,1,0.164166667,0.02994403,0.5
2,0.1,0.177,0.159468284,0.5
2,0.01,0.182166667,0.106203358,0.5
3,1,0.1595,0.230308537,0.5
3,0.1,0.1685,0.22455702,0.5
3,0.01,0.182333333,0.259365578,0.5
4,1,0.180166667,0.151377215,0.5
4,0.1,0.201,0.139406104,0.5
4,0.01,0.193166667,0.07075142,0.5
5,1,0.166861144,0.018863419,0.5
5,0.1,0.175029172,0.26374676,0.5
5,0.01,0.203867311,0.09635239,0.5
1,1,0.174804199,0.127980044,1
1,0.1,0.211631395,0.200548404,1
1,0.01,0.260123313,0.148964125,1
2,1,0.175333333,0.047947761,1
2,0.1,0.198,0.094402985,1
2,0.01,0.202833333,0.034001866,1
3,1,0.168166667,0.102308868,1
3,0.1,0.2035,0.251022263,1
3,0.01,0.180666667,0.202913965,1
4,1,0.211,0.070993351,1
4,0.1,0.226666667,0.087399867,1
4,0.01,0.193666667,0.063403882,1
5,1,0.187364561,0.017862828,1
5,0.1,0.186531089,0.333947333,1
5,0.01,0.215035839,0.144267067,1
1,1,0.194800867,0.097798766,1.5
1,0.1,0.235794034,0.186857339,1.5
1,0.01,0.312447925,0.047509331,1.5
2,1,0.199,0.125046642,1.5
2,0.1,0.252166667,0.040438433,1.5
2,0.01,0.186333333,0.100652985,1.5
