K,budget,Error,Equal opportunity difference,fc
1,1,0.175304116,0.22342135,0
1,0.1,0.174137644,0.163893468,0
1,0.01,0.20929845,0.271255145,0
2,1,0.1585,0.136282763,0
2,0.1,0.17,0.136991153,0
2,0.01,0.181166667,0.242318907,0
3,1,0.167166667,0.098372909,0
3,0.1,0.176333333,0.112975814,0
3,0.01,0.200166667,0.046586099,0
4,1,0.1615,0.087633088,0
4,0.1,0.167666667,0.15970516,0
4,0.01,0.205166667,0.029484029,0
5,1,0.167194532,0.043935634,0
5,0.1,0.186364394,0.195393473,0
5,0.01,0.228038006,0.195764174,0
1,1,0.173804366,0.227640759,0.1
1,0.1,0.177470422,0.119346043,0.1
1,0.01,0.211631395,0.100747468,0.1
2,1,0.162,0.172979028,0.1
2,0.1,0.1705,0.258043525,0.1
2,0.01,0.182,0.251387951,0.1
3,1,0.1665,0.084100458,0.1
3,0.1,0.175833333,0.063797227,0.1
3,0.01,0.198666667,0.135006058,0.1
4,1,0.1655,0.089271089,0.1
4,0.1,0.168,0.167485667,0.1
4,0.01,0.208166667,0.024979525,0.1
5,1,0.169694949,0.01002784,0.1
5,0.1,0.18469745,0.100062792,0.1
5,0.01,0.232705451,0.143639073,0.1
1,1,0.172471255,0.236027742,0.2
1,0.1,0.181136477,0.060626795,0.2
1,0.01,0.209131811,0.086026187,0.2
2,1,0.173333333,0.249114512,0.2
2,0.1,0.175833333,0.22781338,0.2
2,0.01,0.181333333,0.248892111,0.2
3,1,0.1655,0.130076791,0.2
3,0.1,0.176333333,0.085618971,0.2
3,0.01,0.1985,0.112094604,0.2
4,1,0.177666667,0.05978706,0.2
4,0.1,0.171,0.149058149,0.2
4,0.01,0.203166667,0.040540541,0.2
5,1,0.17686281,0.149592985,0.2
5,0.1,0.185364227,0.103175924,0.2
5,0.01,0.238039673,0.15165832,0.2
1,1,0.173304449,0.244466561,0.3
1,0.1,0.195134144,0.040431686,0.3
1,0.01,0.216463923,0.069604703,0.3
2,1,0.180166667,0.313973411,0.3
2,0.1,0.175166667,0.261255992,0.3
2,0.01,0.180833333,0.232129619,0.3
3,1,0.166333333,0.18234748,0.3
3,0.1,0.180833333,0.090878692,0.3
3,0.01,0.198166667,0.106988308,0.3
4,1,0.190166667,0.173628174,0.3
4,0.1,0.175,0.161343161,0.3
4,0.01,0.209166667,0.025389025,0.3
5,1,0.175195866,0.210395515,0.3
5,0.1,0.187531255,0.103788716,0.3
5,0.01,0.236206034,0.163781755,0.3
1,1,0.176637227,0.246156398,0.4
1,0.1,0.202299617,0.08297826,0.4
1,0.01,0.218130312,0.070102323,0.4
2,1,0.188666667,0.291181364,0.4
2,0.1,0.1745,0.286296766,0.4
2,0.01,0.185333333,0.105953773,0.4
3,1,0.168166667,0.223382744,0.4
3,0.1,0.183666667,0.158236164,0.4
3,0.01,0.195666667,0.139396371,0.4
4,1,0.183166667,0.24037674,0.4
4,0.1,0.176,0.152334152,0.4
4,0.01,0.211333333,0.047502047,0.4
5,1,0.194199033,0.22256056,0.4
5,0.1,0.19069845,0.092278071,0.4
5,0.01,0.237039507,0.157460925,0.4
1,1,0.177803699,0.27234369,0.5
1,0.1,0.208465256,0.090774319,0.5
1,0.01,0.218296951,0.078541142,0.5
2,1,0.198,0.222129784,0.5
2,0.1,0.1875,0.220457653,0.5
2,0.01,0.1855,0.155458724,0.5
3,1,0.1685,0.252588554,0.5
3,0.1,0.194,0.105733371,0.5
3,0.01,0.197333333,0.123550331,0.5
4,1,0.2045,0.209254709,0.5
4,0.1,0.186833333,0.142915643,0.5
4,0.01,0.208666667,0.030712531,0.5
5,1,0.187031172,0.229637923,0.5
5,0.1,0.19369895,0.082560409,0.5
5,0.01,0.237039507,0.166376662,0.5
1,1,0.1958007,0.305487305,1
1,0.1,0.225295784,0.093708208,1
1,0.01,0.223462756,0.065416395,1
2,1,0.234,0,1
2,0.1,0.206166667,0.152822853,1
2,0.01,0.188333333,0.121801947,1
3,1,0.189833333,0.290618263,1
3,0.1,0.2085,0.119234764,1
3,0.01,0.1895,0.155474516,1
4,1,0.2115,0.175266175,1
4,0.1,0.202,0.113431613,1
4,0.01,0.212666667,0.015561016,1
5,1,0.236372729,0.039294306,1
5,0.1,0.200033339,0.104775991,1
5,0.01,0.23903984,0.120761526,1
1,1,0.242959507,0,1.5
1,0.1,0.242792868,0.000124405,1.5
1,0.01,0.24245959,0.002457002,1.5
2,1,0.2325,0.007487521,1.5
2,0.1,0.213,0.12491557,1.5
2,0.01,0.190833333,0.099298199,1.5
3,1,0.239166667,0,1.5
3,0.1,0.232666667,0.041530945,1.5
3,0.01,0.200166667,0.121898063,1.5
4,1,0.237166667,0.022932023,1.5
4,0.1,0.207833333,0.108517609,1.5
4,0.01,0.225333333,0.026208026,1.5
5,1,0.240206701,0.016840417,1.5
5,0.1,0.222203701,0.056138506,1.5
5,0.01,0.241873646,0.148783495,1.5
1,1,0.242959507,0,2
1,0.1,0.242959507,0,2
1,0.01,0.242959507,0,2
2,1,0.233166667,0.005823627,2
2,0.1,0.233833333,0.000831947,2
2,0.01,0.193,0.114396797,2
3,1,0.239166667,0,2
3,0.1,0.239166667,0,2
3,0.01,0.229333333,0.049839494,2
4,1,0.2405,0,2
4,0.1,0.216166667,0.134725635,2
4,0.01,0.239,0.002866503,2
5,1,0.243207201,0,2
5,0.1,0.20870145,0.101190026,2
5,0.01,0.241873646,0.161145239,2
1,1,0.242959507,0,3
1,0.1,0.242959507,0,3
1,0.01,0.242959507,0,3
2,1,0.234,0,3
