K,budget,Error,Equal opportunity difference,fc
1,1,0.10152534,0.015820497,0
1,0.1,0.099065114,0.151865651,0
1,0.01,0.114646547,0.009953845,0
2,1,0.103312561,0.144977829,0
2,0.1,0.113151853,0.035203393,0
2,0.01,0.12069531,0.190399074,0
3,1,0.099376845,0.246984358,0
3,0.1,0.108396195,0.14644088,0
3,0.01,0.121843227,0.022269353,0
4,1,0.105772384,0.076629571,0
4,0.1,0.108232207,0.146343402,0
4,0.01,0.114135782,0.073529412,0
5,1,0.093980646,0.178667137,0
5,0.1,0.10021322,0.167771509,0
5,0.01,0.128751845,0.04545134,0
1,1,0.10119731,0.093282545,0.1
1,0.1,0.10021322,0.089223155,0.1
1,0.01,0.116286698,0.030445421,0.1
2,1,0.104296491,0.113938693,0.1
2,0.1,0.11889144,0.155349913,0.1
2,0.01,0.122335192,0.284210526,0.1
3,1,0.101508691,0.18319194,0.1
3,0.1,0.112331912,0.11519088,0.1
3,0.01,0.124467038,0.069658006,0.1
4,1,0.105936373,0.054689984,0.1
4,0.1,0.111511971,0.072337043,0.1
4,0.01,0.114791735,0.098887122,0.1
5,1,0.098901099,0.075458392,0.1
5,0.1,0.102509431,0.109943582,0.1
5,0.01,0.133672298,0.01135402,0.1
1,1,0.112678366,0.080881944,0.2
1,0.1,0.103165491,0.061947395,0.2
1,0.01,0.116942759,0.048184396,0.2
2,1,0.108068219,0.158048968,0.2
2,0.1,0.120531322,0.132176595,0.2
2,0.01,0.123319121,0.234933487,0.2
3,1,0.104460479,0.256163839,0.2
3,0.1,0.113315841,0.143590933,0.2
3,0.01,0.12791079,0.100642895,0.2
4,1,0.109052148,0.095310016,0.2
4,0.1,0.112987865,0.042607313,0.2
4,0.01,0.115447688,0.092130366,0.2
5,1,0.105953748,0.111600846,0.2
5,0.1,0.111038216,0.12045134,0.2
5,0.01,0.137116615,0.056205924,0.2
1,1,0.116450713,0.127092254,0.3
1,0.1,0.105953748,0.007451482,0.3
1,0.01,0.119731015,0.015570261,0.3
2,1,0.121679239,0.212955465,0.3
2,0.1,0.137586094,0.102949682,0.3
2,0.01,0.12430305,0.33190669,0.3
3,1,0.108232207,0.227564952,0.3
3,0.1,0.122171204,0.132588812,0.3
3,0.01,0.128402755,0.165528897,0.3
4,1,0.129386684,0.00381558,0.3
4,0.1,0.118071499,0.127821939,0.3
4,0.01,0.118727452,0.172972973,0.3
5,1,0.113990487,0.106593794,0.3
