K,budget,Error,Equal opportunity difference,fc
1,1.0,0.2849785407725322,0.04386933408176841,0.0
1,0.1,0.33476394849785407,0.02344369807840818,0.0
1,0.01,0.36952789699570815,0.05408049930755909,0.0
2,1.0,0.26878488621726065,0.12458926612718191,0.0
2,0.1,0.27694289394589955,0.10066238979109454,0.0
2,0.01,0.3293258909403177,0.05327804723087226,0.0
3,1.0,0.33319021039072566,0.12525060914146657,0.0
3,0.1,0.3233147273507943,0.06667746210815961,0.0
3,0.01,0.33061399742378705,0.06725579097105627,0.0
4,1.0,0.291970802919708,0.06621746451696542,0.0
4,0.1,0.26363246028338344,0.10283106012017451,0.0
4,0.01,0.2855302705023615,0.1359017551148255,0.0
5,1.0,0.23539518900343642,0.09880913536162705,0.0
5,0.1,0.2615979381443299,0.05809951056733875,0.0
5,0.01,0.2860824742268041,0.05391517125273715,0.0
1,1.0,0.3141630901287554,0.046973343177393545,0.1
1,0.1,0.351931330472103,0.013890358089668542,0.1
1,0.01,0.3643776824034335,0.03944306343853188,0.1
2,1.0,0.2782310004293688,0.1312913993361685,0.1
2,0.1,0.27007299270072993,0.07932378863306733,0.1
2,0.01,0.3250322026620867,0.05964768161238909,0.1
3,1.0,0.3482181193645341,0.06616853271342804,0.1
3,0.1,0.33190210390725633,0.08183738931804607,0.1
3,0.01,0.33190210390725633,0.06009993519826251,0.1
4,1.0,0.2722198368398454,0.060714738510076915,0.1
4,0.1,0.26534993559467585,0.08886232313960696,0.1
4,0.01,0.291970802919708,0.12363926168058426,0.1
5,1.0,0.24355670103092783,0.06175367043764013,0.1
5,0.1,0.27190721649484534,0.05646818919704211,0.1
5,0.01,0.28951890034364264,0.07657422508490219,0.1
1,1.0,0.29055793991416307,0.016554715156634203,0.2
1,0.1,0.33433476394849787,0.007391442297246087,0.2
1,0.01,0.3708154506437768,0.030041783489155205,0.2
2,1.0,0.2765135251180764,0.08086241065449096,0.2
2,0.1,0.29583512237011594,0.06400928386053051,0.2
2,0.01,0.32632030914555604,0.05430814163467357,0.2
3,1.0,0.36324602833834263,0.0618117886308972,0.2
3,0.1,0.38557320738514383,0.08166003514086356,0.2
3,0.01,0.34263632460283383,0.041709077423565,0.2
4,1.0,0.24516960068699012,0.0729301381708054,0.2
4,0.1,0.2640618291112065,0.07590791353213255,0.2
4,0.01,0.2936882782310004,0.1054538209026652,0.2
5,1.0,0.2418384879725086,0.04192495917896466,0.2
5,0.1,0.26718213058419243,0.06146818919679209,0.2
5,0.01,0.28737113402061853,0.05799347467847871,0.2
1,1.0,0.28412017167381975,0.03472258949210105,0.3
1,0.1,0.3377682403433476,0.016597688711995517,0.3
1,0.01,0.3699570815450644,0.028683159700080396,0.3
2,1.0,0.26878488621726065,0.08843816822996153,0.3
2,0.1,0.29411764705882354,0.0657304542563848,0.3
2,0.01,0.32288535852297123,0.06464168359407829,0.3
3,1.0,0.3203091455560326,0.07960889543866145,0.3
3,0.1,0.35379991412623446,0.12230498748209462,0.3
3,0.01,0.3185916702447402,0.021837697757543628,0.3
4,1.0,0.2829540575354229,0.021891358316281306,0.3
4,0.1,0.27608415629025335,0.0626962994827508,0.3
4,0.01,0.291970802919708,0.1049068086398739,0.3
5,1.0,0.24871134020618557,0.03515497549432567,0.3
5,0.1,0.2856529209621993,0.025008156568570028,0.3
5,0.01,0.2869415807560137,0.05331158234530886,0.3
1,1.0,0.2931330472103004,0.007490611915570544,0.4
1,0.1,0.3317596566523605,0.03569775746572246,0.4
1,0.01,0.3759656652360515,0.01758607925331579,0.4
2,1.0,0.27608415629025335,0.0488512491253108,0.4
2,0.1,0.27994847574066123,0.05832420588678833,0.4
2,0.01,0.3194504079003864,0.06172090958854848,0.4
3,1.0,0.37913267496779735,0.07903827762778326,0.4
3,0.1,0.33233147273507946,0.08845347148803484,0.4
3,0.01,0.3258909403177329,0.00016193211162418564,0.4
4,1.0,0.28166595105195363,0.018616529884419197,0.4
4,0.1,0.2640618291112065,0.07474868224859732,0.4
4,0.01,0.2928295405753542,0.09515477545665763,0.4
5,1.0,0.24312714776632302,0.050228384956703565,0.4
5,0.1,0.2710481099656357,0.05710440453020249,0.4
5,0.01,0.29381443298969073,0.05136215330843208,0.4
1,1.0,0.30815450643776826,0.002297429551281427,0.5
1,0.1,0.33948497854077253,0.02322552496016217,0.5
1,0.01,0.36781115879828324,0.0488278151181879,0.5
2,1.0,0.26534993559467585,0.0896312522553585,0.5
2,0.1,0.2803778445684843,0.08327465704239834,0.5
2,0.01,0.31987977672820955,0.05535127520703165,0.5
3,1.0,0.3688278231000429,6.168843538578717e-05,0.5
3,0.1,0.31644482610562474,0.04357515187732719,0.5
3,0.01,0.32546157148990984,0.03180037627261845,0.5
4,1.0,0.2696436238729068,0.014341864578766184,0.5
4,0.1,0.26706741090596825,0.06502925244435742,0.5
4,0.01,0.2971232288535852,0.09846945241238125,0.5
5,1.0,0.23754295532646047,0.027993474679978703,0.5
5,0.1,0.27491408934707906,0.048629690012139126,0.5
5,0.01,0.29381443298969073,0.06320554645594878,0.5
1,1.0,0.3051502145922747,0.020333077668885258,1.0
1,0.1,0.3223175965665236,0.010621066296836124,1.0
1,0.01,0.34935622317596565,0.04357513092881671,1.0
2,1.0,0.2674967797337913,0.05625749749490727,1.0
2,0.1,0.26534993559467585,0.09618343501130622,1.0
2,0.01,0.313439244310863,0.061199342802369494,1.0
3,1.0,0.37655646200085874,0.07557601552166138,1.0
3,0.1,0.34693001288106484,0.07417260415052085,1.0
3,0.01,0.33791326749677975,0.007263810462572073,1.0
4,1.0,0.25375697724345214,0.02807875524675174,1.0
4,0.1,0.270502361528553,0.04789074241850799,1.0
4,0.01,0.29411764705882354,0.1010125160423827,1.0
5,1.0,0.24312714776632302,0.03178629686487233,1.0
5,0.1,0.27147766323024053,0.03189233275373238,1.0
5,0.01,0.3002577319587629,0.06362969001138907,1.0
1,1.0,0.2939914163090129,0.006297270823703127,1.5
1,0.1,0.33047210300429186,0.02351311685931301,1.5
1,0.01,0.33261802575107297,0.013040805020012258,1.5
2,1.0,0.2730785744954916,0.05384525110699989,1.5
2,0.1,0.3044224989265779,0.05816121626519255,1.5
2,0.01,0.3061399742378703,0.04622385644158067,1.5
3,1.0,0.3598110777157578,0.07486659877445323,1.5
3,0.1,0.31987977672820955,0.044700965395046866,1.5
3,0.01,0.35122370115929585,0.015753678138341387,1.5
4,1.0,0.2971232288535852,0.03417920987984768,1.5
4,0.1,0.29411764705882354,0.0482131536183682,1.5
4,0.01,0.29068269643623873,0.07080729587759338,1.5
5,1.0,0.24527491408934707,0.021003262605956308,1.5
5,0.1,0.2847938144329897,0.016745513828226755,1.5
5,0.01,0.28951890034364264,0.03107667206858411,1.5
1,1.0,0.2935622317596567,0.027298090625364924,2.0
1,0.1,0.3180257510729614,0.008373221584765389,2.0
1,0.01,0.3592274678111588,0.02407177238789382,2.0
2,1.0,0.274796049806784,0.06262061229214577,2.0
2,0.1,0.3078574495491627,0.06762765344239163,2.0
2,0.01,0.30313439244310864,0.029703228475089993,2.0
3,1.0,0.3696865607556891,0.05868110172308527,2.0
3,0.1,0.32889652211249465,0.0807424200083996,2.0
3,0.01,0.35379991412623446,0.017812528950279294,2.0
4,1.0,0.27951910691283816,0.030734119408218574,2.0
4,0.1,0.30399313009875484,0.04697422518234384,2.0
4,0.01,0.2936882782310004,0.06844173953701016,2.0
5,1.0,0.25214776632302405,0.013980424106201483,2.0
5,0.1,0.33676975945017185,0.019151712846275926,2.0
5,0.01,0.27491408934707906,0.017601957550770653,2.0
1,1.0,0.3158798283261803,0.02091817842300958,3.0
1,0.1,0.3407725321888412,0.007870762179244872,3.0
1,0.01,0.38755364806866954,3.004851922838725e-11,3.0
2,1.0,0.30141691713181623,0.03458639750941017,3.0
2,0.1,0.2911120652640618,0.07967584621337231,3.0
2,0.01,0.29583512237011594,0.03745501484071312,3.0
3,1.0,0.37097466723915845,0.05561210323141996,3.0
3,0.1,0.31816230141691715,0.0004935072714556954,3.0
3,0.01,0.36839845427221984,0.009600259127930721,3.0
4,1.0,0.27436668097896094,0.020420583567674733,3.0
4,0.1,0.3877200515242593,3.4921954217281836e-11,3.0
4,0.01,0.2971232288535852,0.06898875179980146,3.0
5,1.0,0.3290378006872852,0.010285481198504476,3.0
5,0.1,0.38745704467353953,4.184352864200491e-11,3.0
5,0.01,0.28393470790378006,0.04930668838269514,3.0
1,1.0,0.3802575107296137,0.0017123287370600648,4.0
1,0.1,0.3781115879828326,0.006882371637924489,4.0
1,0.01,0.38755364806866954,3.004851922838725e-11,4.0
2,1.0,0.3877200515242593,2.927302844568658e-11,4.0
2,0.1,0.3044224989265779,0.06246414225482855,4.0
2,0.01,0.27436668097896094,0.03505580762136229,4.0
3,1.0,0.4010304851867754,0.024220412658055746,4.0
3,0.1,0.39244310863031345,0.009353505405626739,4.0
3,0.01,0.38643194504079004,0.004672897234521578,4.0
4,1.0,0.45684843280377846,0.06495317795161593,4.0
4,0.1,0.3877200515242593,3.4921954217281836e-11,4.0
4,0.01,0.38729068269643624,3.4921954217281836e-11,4.0
5,1.0,0.38788659793814434,0.001631321328453117,4.0
5,0.1,0.36597938144329895,0.01549755297597466,4.0
5,0.01,0.27491408934707906,0.03033442084656368,4.0
1,1.0,0.3871244635193133,3.004851922838725e-11,5.0
1,0.1,0.38755364806866954,3.004851922838725e-11,5.0
1,0.01,0.38755364806866954,3.004851922838725e-11,5.0
2,1.0,0.3877200515242593,2.927302844568658e-11,5.0
2,0.1,0.3366251610133104,0.03665310590129123,5.0
2,0.01,0.29240017174753113,0.05104182963311721,5.0
3,1.0,0.39759553456419067,0.044855186416174475,5.0
3,0.1,0.3615285530270502,0.008852287062913522,5.0
3,0.01,0.3877200515242593,3.847822060976114e-11,5.0
4,1.0,0.46114212108200947,0.07291927043601665,5.0
4,0.1,0.3877200515242593,3.4921954217281836e-11,5.0
4,0.01,0.37312151137827393,0.007386476807711206,5.0
5,1.0,0.3870274914089347,4.184352864200491e-11,5.0
