K,budget,Error,Equal opportunity difference,fc
1,1,0.117772109,0.063660066,0
1,0.1,0.123086735,0.093908398,0
1,0.01,0.144345238,0.065100463,0
2,1,0.11455898,0.044412176,0
2,0.1,0.125185972,0.08553659,0
2,0.01,0.136875664,0.097792634,0
3,1,0.108820404,0.094521229,0
3,0.1,0.113283741,0.025300606,0
3,0.01,0.126673751,0.021582459,0
4,1,0.106482465,0.19017655,0
4,0.1,0.112646121,0.121700968,0
4,0.01,0.129436769,0.038796818,0
5,1,0.118172157,0.104415894,0
5,0.1,0.125185972,0.147706968,0
5,0.01,0.136238045,0.176610227,0
1,1,0.118622449,0.023256026,0.1
1,0.1,0.123086735,0.073013529,0.1
1,0.01,0.139668367,0.069084345,0.1
2,1,0.113071201,0.015059773,0.1
2,0.1,0.124335813,0.004867713,0.1
2,0.01,0.133687566,0.136579084,0.1
3,1,0.107970244,0.091395691,0.1
3,0.1,0.113071201,0.026858596,0.1
3,0.01,0.123698193,0.022012579,0.1
4,1,0.106482465,0.131680728,0.1
4,0.1,0.111583422,0.13527785,0.1
4,0.01,0.12879915,0.108194225,0.1
5,1,0.116046759,0.083595678,0.1
5,0.1,0.124973433,0.154284013,0.1
5,0.01,0.135812965,0.148481239,0.1
1,1,0.123937075,0.010265106,0.2
1,0.1,0.124362245,0.058965102,0.2
1,0.01,0.140518707,0.060049958,0.2
2,1,0.112858661,0.027580664,0.2
2,0.1,0.119872476,0.044987534,0.2
2,0.01,0.129649309,0.134825612,0.2
3,1,0.116259299,0.047408767,0.2
3,0.1,0.11455898,0.02458374,0.2
3,0.01,0.124760893,0.028961404,0.2
4,1,0.102869288,0.097683413,0.2
4,0.1,0.112221041,0.130628645,0.2
4,0.01,0.12901169,0.14835374,0.2
5,1,0.116896918,0.0534672,0.2
5,0.1,0.123698193,0.137479792,0.2
5,0.01,0.138150903,0.142823109,0.2
1,1,0.134778912,0.031105277,0.3
1,0.1,0.128826531,0.041005725,0.3
1,0.01,0.134566327,0.065155162,0.3
2,1,0.122848034,0.025881988,0.3
2,0.1,0.121147715,0.076705298,0.3
2,0.01,0.12922423,0.112569294,0.3
3,1,0.130712009,0.004549712,0.3
3,0.1,0.120510096,0.002943931,0.3
3,0.01,0.126248672,0.028818031,0.3
4,1,0.125823592,0.025089678,0.3
4,0.1,0.115196599,0.102643234,0.3
4,0.01,0.12922423,0.126179836,0.3
5,1,0.121147715,0.071930571,0.3
5,0.1,0.122848034,0.141682975,0.3
5,0.01,0.140063762,0.103190675,0.3
1,1,0.138392857,0.021323342,0.4
1,0.1,0.131802721,0.041753273,0.4
1,0.01,0.136692177,0.078474273,0.4
2,1,0.134325186,0.009607569,0.4
2,0.1,0.123485654,0.082194033,0.4
2,0.01,0.12816153,0.125099318,0.4
3,1,0.137938363,0.007235572,0.4
3,0.1,0.125185972,0.031609031,0.4
3,0.01,0.12837407,0.026686548,0.4
4,1,0.133049947,0.018226088,0.4
4,0.1,0.116896918,0.117492635,0.4
4,0.01,0.130074389,0.131861085,0.4
5,1,0.146014878,0,0.4
5,0.1,0.123698193,0.135480303,0.4
5,0.01,0.141764081,0.080362461,0.4
1,1,0.141581633,0.001795938,0.5
1,0.1,0.132653061,0.069923057,0.5
1,0.01,0.134778912,0.060833971,0.5
2,1,0.140701382,0,0.5
2,0.1,0.124973433,0.07465958,0.5
2,0.01,0.132412327,0.116131036,0.5
3,1,0.138788523,0,0.5
3,0.1,0.130712009,0.017577565,0.5
3,0.01,0.130924548,0.014624075,0.5
4,1,0.130286929,0.054788481,0.5
4,0.1,0.122422954,0.059567945,0.5
4,0.01,0.131137088,0.096921905,0.5
5,1,0.146014878,0,0.5
5,0.1,0.121785335,0.125074449,0.5
5,0.01,0.140063762,0.100450949,0.5
1,1,0.143069728,0,1
1,0.1,0.142644558,0.006490902,1
1,0.01,0.135629252,0.043585676,1
2,1,0.140701382,0,1
2,0.1,0.140701382,0,1
2,0.01,0.137300744,0.022548563,1
3,1,0.138788523,0,1
3,0.1,0.138788523,0,1
3,0.01,0.133475027,0.021142781,1
4,1,0.135387885,0,1
4,0.1,0.134962806,0.008005852,1
4,0.01,0.135600425,0.002785515,1
5,1,0.146014878,0,1
5,0.1,0.146014878,0,1
5,0.01,0.145377258,0.008219178,1
1,1,0.143069728,0,1.5
1,0.1,0.143069728,0,1.5
1,0.01,0.140943878,0.012963571,1.5
2,1,0.140701382,0,1.5
2,0.1,0.140701382,0,1.5
2,0.01,0.140701382,0,1.5
3,1,0.138788523,0,1.5
3,0.1,0.138788523,0,1.5
3,0.01,0.133900106,0.015751945,1.5
4,1,0.135387885,0,1.5
4,0.1,0.135387885,0,1.5
4,0.01,0.135387885,0,1.5
5,1,0.146014878,0,1.5
5,0.1,0.146014878,0,1.5
5,0.01,0.146014878,0,1.5
1,1,0.143069728,0,2
1,0.1,0.143069728,0,2
1,0.01,0.140731293,0.010082777,2
2,1,0.140701382,0,2
2,0.1,0.140701382,0,2
2,0.01,0.140701382,0,2
3,1,0.138788523,0,2
3,0.1,0.138788523,0,2
3,0.01,0.135175345,0.000420562,2
4,1,0.135387885,0,2
4,0.1,0.135387885,0,2
4,0.01,0.135387885,0,2
5,1,0.146014878,0,2
5,0.1,0.146014878,0,2
5,0.01,0.146014878,0,2
1,1,0.143069728,0,3
1,0.1,0.143069728,0,3
1,0.01,0.143069728,0,3
2,1,0.140701382,0,3
2,0.1,0.140701382,0,3
2,0.01,0.140701382,0,3
3,1,0.138788523,0,3
3,0.1,0.138788523,0,3
3,0.01,0.137513284,0.013190342,3
4,1,0.135387885,0,3
4,0.1,0.135387885,0,3
4,0.01,0.135387885,0,3
5,1,0.146014878,0,3
5,0.1,0.146014878,0,3
5,0.01,0.146014878,0,3
1,1,0.143069728,0,4
1,0.1,0.143069728,0,4
1,0.01,0.143069728,0,4
2,1,0.140701382,0,4
2,0.1,0.140701382,0,4
2,0.01,0.140701382,0,4
3,1,0.138788523,0,4
3,0.1,0.138788523,0,4
3,0.01,0.136450584,0.00950087,4
4,1,0.135387885,0,4
4,0.1,0.135387885,0,4
4,0.01,0.135387885,0,4
5,1,0.146014878,0,4
5,0.1,0.146014878,0,4
5,0.01,0.146014878,0,4
1,1,0.143069728,0,5
1,0.1,0.143069728,0,5
1,0.01,0.143069728,0,5
2,1,0.140701382,0,5
2,0.1,0.140701382,0,5
2,0.01,0.140701382,0,5
3,1,0.138788523,0,5
3,0.1,0.138788523,0,5
3,0.01,0.132412327,0.003412284,5
4,1,0.135387885,0,5
4,0.1,0.135387885,0,5
4,0.01,0.135387885,0,5
5,1,0.146014878,0,5
5,0.1,0.146014878,0,5
5,0.01,0.146014878,0,5
